ordinal	view	build	shoulderHip	waist	presentation	evidence
219	reject	?	?	?	C	Pale striped shirt repeats prior basic collared-shirt ensemble.
220	detail	?	?	?	U	Pink shirt collar closeup.
221	reject	?	?	?	C	Pink printed short-sleeve shirt repeats ensemble 216.
222	detail	?	?	?	U	Blue patterned collar closeup.
223	reject	?	?	?	C	Blue printed short-sleeve shirt repeats ensemble 216.
224	reject	?	?	?	U	Green tee and jeans; retain full basic ensemble 236.
225	detail	?	?	?	U	Tee neckline closeup.
226	reject	?	?	?	U	Blue tee and jeans; retain full basic ensemble 236.
227	detail	?	?	?	U	Blue tee collar closeup.
228	reject	?	?	?	C	Close seersucker shirt crop; retain wider view 229.
229	partial	2	1	1	C	Fitted turquoise short-sleeve shirt and tan trousers; enlarged frontal contours support intermediate build, broader shoulders and moderate waist indentation.
230	partial	2	?	?	C	Open pink short-sleeve shirt over white tee and gray trousers; open layers hide waist.
231	reject	?	?	?	C	Close alternate pink open shirt from 230.
232	reject	?	?	?	M	Blue plaid blazer and pink shirt repeats checked tailoring ensemble 186.
233	detail	?	?	?	U	Plaid lapel closeup.
234	reject	?	?	?	M	Black blazer and check shirt repeats basic blazer ensemble.
235	detail	?	?	?	U	Black lapel closeup.
236	full	2	?	?	U	White tee, dark jeans and dark sneakers; loose tee and angled pose hide axes.
237	detail	?	?	?	U	Rear jeans waistband and pocket closeup.
238	reject	?	?	?	U	Repeated white tee and jeans ensemble from 236.
239	detail	?	?	?	U	Rear jeans pocket closeup.
