ordinal	build	shoulderHip	waist	view	clothing	evidence
40	?	?	?	detail	Red trousers and blue shirt edge.	Lower-body crop lacks upper-body cues.
41	?	?	?	detail	Gray shorts suit detail.	Cropped layers and knees do not establish overall build.
42	1.5	?	?	partial	Gray patterned button shirt and blue trousers.	Narrow arms and trunk support build; shirt drape and hands obscure local contours.
43	1.5	?	?	partial	Green short-sleeve knit shirt.	Narrow arms and fitted trunk support build; held hem and turned posture limit waist judgment.
44	1.5	?	?	partial	White button shirt and dark trousers.	Narrow arms and trunk support build; tailored shirt and cropped hips limit shape.
45	?	?	?	detail	Blue tailored trousers.	Lower-body crop lacks upper-body cues.
46	1.5	?	?	partial	Blue button shirt and olive trousers.	Narrow arms and upper trunk support build; loose shirt hides waist and hip relationship.
47	?	?	?	partial	Leopard cardigan over black crop top.	Bulky cardigan hides arm and lateral trunk contours.
48	?	?	?	partial	Black hoodie over crop top and jeans.	Outer layer conceals arms and lateral trunk; lower crop limits independent build cues.
49	?	?	?	partial	Black zip hoodie and jeans.	Loose outer layer and side turn obscure independent contours.
50	?	?	?	partial	Black graphic sweater.	Loose sweater hides trunk and arm contours; legs cropped.
51	?	?	?	partial	Black graphic sweater and short skirt.	Crossed arms and sweater conceal trunk; limited visible thighs are insufficient alone.
52	?	?	?	partial	Black long coat and trousers.	Coat hides arms, waist and hips.
53	?	?	?	partial	Purple fur-trimmed coat over black layers.	Outerwear conceals independent body contours.
54	1.5	?	?	partial	Black lace crop tee and shorts.	Narrow exposed arms and thighs support build; loose top hides waist and shoulder contour.
55	1.5	?	?	partial	Black lace-neck top and patterned skirt.	Narrow arms and upper trunk support build; flared skirt hides hips and hand placement limits waist.
56	2.5	?	?	partial	Black printed wrap-style short dress.	Fuller arms and upper trunk support build; wrap construction and flared skirt obscure local axes.
57	2.5	?	?	partial	Dark patterned short-sleeve dress.	Fuller exposed arms and trunk support build; turned pose and gathered skirt obscure local axes.
58	2.5	?	?	partial	Dark patterned short-sleeve dress.	Fuller arms and trunk support build; gathered skirt and tied waist obscure independent contours.
59	2.5	?	?	partial	Dark puff-sleeve blouse and black jeans.	Fuller exposed arms and trunk support build; puff shoulders, fitted seams and hand at waist limit local axes.
60	2.5	?	?	partial	Dark puff-sleeve blouse and black jeans.	Fuller exposed arm and trunk support build; raised arm and shaped blouse obscure local contours.
61	2.5	?	?	partial	Black sleeveless graphic top and black bottom.	Fuller bare arms and upper trunk support build; hands obscure waist and lower crop hides hips.
62	1.5	?	?	partial	White tiered short dress and bonnet.	Narrow arms and thighs support build; tiers conceal waist and hips.
63	?	?	?	partial	Black wide-sleeve shrug over printed dress.	Crossed arm and loose sleeve obscure trunk and arm contours; lower body cropped.
64	?	?	?	partial	Black wide-sleeve shrug over printed dress.	Loose sleeves and crossed arms obscure contour cues; gathered skirt hides hips.
65	?	?	?	partial	Varsity jacket and jeans.	Padded jacket conceals trunk and arms; lower crop prevents independent build judgment.
66	3	?	?	partial	Pink tank and loose pink shorts.	Full bare arms and thighs with broad trunk support build; shoulder crop and loose shorts limit local axes.
67	3	?	?	partial	Pink tank and loose pink shorts.	Full bare arms and broad trunk support build; arms held back and loose shorts obscure local comparison.
68	2.5	?	?	partial	Black high-neck top and star-trimmed skirt.	Fuller fitted arms and trunk support build; shaped high waistband and flared skirt obscure local axes.
69	2.5	?	?	partial	Black high-neck top and star-trimmed skirt.	Fuller fitted arms and trunk support build; raised arm and structured waistband limit waist judgment.
70	2	?	?	partial	Yellow patterned crop top and full skirt.	Moderate exposed arms and upper trunk support build; raised arm and full skirt obscure local axes.
71	1.5	?	?	seated	Black ruffled short outfit.	Narrow arms and visible legs support build; seated twist and ruffles obscure waist and hip comparison.
72	?	?	?	partial	Pale patchwork hooded coat.	Oversized coat hides body contours.
73	?	?	?	partial	Pale patchwork hooded coat.	Wide coat hides trunk and arms; small leg segment is insufficient alone.
74	?	?	?	partial	Blue patchwork button shirt and jeans.	Oversized shirt hides trunk and upper arms; legs mostly cropped.
75	?	?	?	partial	Blue patchwork button shirt and jeans.	Loose shirt and crossed forearms obscure independent build cues.
76	?	?	?	partial	Red and gold wide-sleeve dress.	Enlarged view shows sleeves and full skirt hiding most contours; exposed forearm and knee fragments are insufficient for build.
77	?	?	?	partial	Pastel graphic cardigan and yellow skirt.	Oversized cardigan hides trunk and arms; short thigh view is insufficient alone.
78	3	?	?	partial	Pink cat sweater vest and pleated skirt.	Broad trunk and full visible thighs support build; shoulder crop, sleeve layers and pleats obscure local axes.
79	1.5	?	?	partial	Pink cat vest over spotted shirt and pleated skirt.	Narrow bare arms and thighs support build; shoulder crop and pleated skirt obscure local axes.
80	3	?	?	partial	Pink heart-print crop top and skirt.	Full bare arms and thighs with broad trunk support build; shoulder crop and skirt volume limit shape.
81	1.5	?	?	partial	Pink heart-print crop top and skirt.	Narrow arms and fitted upper trunk support build; shoulder crop, raised hands and flared skirt obscure local comparisons.
82	3	?	?	partial	Pastel check crop top and lavender skirt.	Full arms and legs with broad upper trunk support build; flared skirt and angled pose obscure local axes.
83	?	?	?	detail	Pastel color-block shorts and crop-top edge.	Abdominal garment crop lacks upper-body comparative cues.
84	2	?	?	full	Black asymmetric dress with pink lace.	Moderate bare arms and visible legs support build; elevated camera and flared skirt obscure shape.
85	1.5	?	?	partial	Black asymmetric dress with pink lace.	Narrow arms and visible legs support build; pulled skirt and elevated camera limit local axes.
86	1.5	?	?	partial	Black tank and tiered black skirt.	Narrow bare arms and thighs support build; tiered skirt conceals hip and waist comparison.
87	3	?	?	partial	Black sailor crop top and tiered skirt.	Full bare arms and thighs support build; loose top and lifted skirt obscure local contours.
88	1.5	?	?	partial	White polka-dot camisole and blue tiered skirt.	Narrow bare arms and upper trunk support build; shoulders cropped and layered skirt hides hips.
89	3	?	?	partial	Pale pink top and blue tiered skirt.	Full arms and legs with broad trunk support build; shoulders cropped and skirt hides local shape.
90	1.5	?	?	partial	White graphic tee and pink ruffled shorts.	Narrow bare arms and thighs support build; asymmetrical pose and loose tee obscure local axes.
91	3	?	?	partial	White graphic tee and lavender ruffled shorts.	Full arms and thighs with broad trunk support build; hands held behind and ruffles obscure local comparison.
92	3	?	?	seated	Teal fitted long-sleeve top and black trousers.	Full fitted arms and broad trunk support build; seated compression obscures waist and hips.
93	?	?	?	full	Blue long shirt dress and sandals.	Loose dress hides most contours; forearm and calf fragments insufficient to assign build.
94	?	?	?	full	Burgundy suit with wide trousers.	Tailored jacket and loose trousers conceal independent body contours.
95	?	?	?	partial	Navy coat over printed blouse and jeans.	Outerwear and crossed hands obscure arms and trunk; lower body cropped.
96	?	?	?	full	Purple sweater and matching skirt with tall boots.	Loose knit layers and boots obscure independent body contours.
97	?	?	?	full	Dark sweater and matching skirt with tall boots.	Crossed arms, dark knit layers and boots obscure independent contours.
98	?	?	?	full	Purple coat over red shirt and dark skirt.	Coat and layered skirt conceal trunk and limb contours.
99	?	?	?	partial	Dark boat-neck sweater.	Upper-trunk crop and loose sweater obscure comparative body cues.
100	?	?	?	full	Brown long knit dress and tall boots.	Enlarged view shows dress draping away from trunk and loose sleeve folds; boots hide legs, leaving insufficient independent contours.
101	2	?	?	partial	Beige cardigan and blue jeans.	Moderate fitted arm and trunk contours support build; raised arm, turn and hip crop limit shape.
102	1.5	?	?	full	Red plaid shirt dress and flats.	Narrow exposed arms and legs support build; loose dress hides waist and hips.
103	2.5	?	?	full	Red plaid shirt and black fitted trousers.	Fuller legs and moderate-to-full arms support build; loose shirt hides waist and shoulder-to-hip relationship.
104	?	?	?	seated	Brown cardigan and dark trousers.	Forward lean and folded arms conceal trunk; seated crop limits independent build cues.
105	1.5	0	1	full	Burgundy fitted top and jeans.	Narrow arms and torso support build; visible shoulders and upper hips appear balanced with moderate waist indentation.
106	1.5	?	?	full	Gray draped tee and shorts.	Narrow arms and legs support build; asymmetric draped top and loose shorts obscure local axes.
107	1.5	?	?	full	Black polo and wide blue jeans.	Narrow exposed arms and upper trunk support build; loose trousers and leaning stance hide hip comparison.
108	1.5	?	?	full	Gray collared top and wide black trousers.	Narrow exposed arms and upper trunk support build; raised arm and loose trousers obscure local axes.
109	1.5	?	?	full	White graphic tee and long white skirt.	Narrow exposed arms and upper trunk support build; tied layer and skirt hide waist and hips.
110	?	?	?	full	White long-sleeve top and wide dark trousers.	Crossed arms and loose clothing obscure independent contours.
111	1.5	?	?	full	Black camisole over white tee and wide cream trousers.	Narrow bare arms and upper trunk support build; layered waist and wide trousers hide local axes.
112	2	?	?	full	Black polo and olive cargo trousers.	Enlarged view shows moderate exposed arms and upper trunk supporting intermediate build; crossed arms and bulky trousers limit local comparison.
113	1.5	?	?	full	White sleeveless top and plaid short skirt.	Narrow bare arms and legs support build; crossed arm and flared skirt hide local shape.
114	1.5	?	?	full	Black crop top and beige wide trousers.	Narrow bare arms and upper trunk support build; angled stance and loose trousers obscure hip comparison.
115	?	?	?	full	Gray loose tee and wide black trousers.	Loose garments and diagonal bag obscure trunk; forearms alone insufficient for build.
116	1.5	?	?	full	Gray fitted vest over white blouse and dotted wide trousers.	Narrow arms and upper trunk support build; vest tailoring and loose trousers obscure local axes.
117	?	?	?	full	Cream open-knit top and long brown skirt.	Loose sleeves and long skirt hide contours; bag obscures lower torso.
118	?	?	?	full	Gray camisole over white blouse and loose jeans.	Layered torso, loose sleeves and wide jeans provide insufficient independent build cues.
119	?	?	?	full	Striped off-shoulder top and wide black jeans.	Loose top, sleeves and trousers hide contours; mirror pose limits comparison.
120	1.5	?	?	full	Black long-sleeve top and wide gray trousers.	Narrow fitted arms and upper trunk support build; wide trousers hide hips and hands-in-pockets alter waist.
