ordinal	build	shoulderHip	waist	styles	silhouette	palette	evidence
65	1.5	?	1	goth,romantic	waist-defined	dark	Fitted bodice shows indentation; gathered skirt hides hips.
66	3	?	?	goth,romantic	waist-defined	dark	Broad upper torso and arms; full skirt obscures shape.
67	3	0	1	dark-casual,sport	layered	dark	Open robe exposes fitted crop top, waist and shorts.
68	3	0	1	dark-casual,sport	layered	dark	Close inner garments show broad balanced proportions.
69	2	?	?	goth,romantic	waist-defined	dark	Corset-like bodice and full trousers obscure local anatomy.
70	3	?	?	goth,romantic	waist-defined	dark	Laced structured waist and full skirt confound local labels.
71	1.5	0	1	punk,everyday	mixed	neutral	Exposed waist and fitted skirt; cropped tee.
72	1.5	?	?	punk,dark-casual	layered	dark	Jacket and oversized tee hide waist and shoulders.
73	3	0	1	punk,everyday	mixed	neutral	Close skirt and exposed waist show broad balanced outline.
74	3	0	0	punk	fitted	dark	Enlarged view shows broad relatively straight midsection above short skirt.
75	1.5	?	?	workwear,everyday	layered	neutral	Loose pinafore and sleeves conceal local widths.
76	1.5	0	1	everyday	mixed	muted	Close sleeveless crop top; upper denim contour visible.
77	1.5	?	?	everyday	loose	colorful	Loose tee and wide culottes hide local contour.
78	1.5	0	1	everyday	mixed	colorful	Close top and upper hip outline above loose trousers.
79	2.5	0	1	workwear	mixed	colorful	Coverall follows broad torso with moderate indentation.
80	1.5	0	1	workwear	mixed	colorful	Close upper layers reveal waist above wide lower legs.
81	3	0	0	workwear	loose	muted	Broad coverall contour is fairly straight through trunk.
82	1.5	?	?	everyday,romantic	loose	multicolor	Loose long dress hides waist and hip relationship.
83	3	?	?	everyday,sport	loose	colorful	Fleece hides upper torso; wide trousers and exposed lower legs.
84	1.5	0	1	everyday	mixed	colorful	Close checked top and upper denim outline.
85	1.5	?	?	workwear,everyday	layered	multicolor	Boxy jacket hides shoulder and waist outline.
86	1.5	?	?	everyday	layered	multicolor	Loose jacket conceals waist and upper hips.
87	1.5	0	1	everyday	mixed	colorful	Fitted knit and upper jeans show moderate waist indentation.
88	1.5	0	1	everyday	mixed	colorful	Close cropped knit exposes waist above gathered trousers.
89	1.5	1	0	dark-casual,punk	mixed	dark	Tee and joggers show shoulders broader than narrow hips.
90	1.5	?	?	goth,everyday	layered	dark	Patterned outer layer obscures torso boundaries.
91	2	0	1	goth,punk	layered	dark	Open cardigan reveals midriff and upper trousers.
92	2	0	1	goth,punk	layered	dark	Inner crop top and upper jeans provide broad comparison.
93	2	0	?	goth,romantic	waist-defined	dark	Drape permits approximate hip comparison; broad belt shapes waist.
94	2	0	?	goth,romantic	waist-defined	dark	Draped dress follows hips; belt defines apparent waist.
95	1.5	0	1	punk	layered	neutral	Open cardigan reveals fitted shorts and midriff.
96	2.5	?	1	punk	layered	neutral	Enlarged view confirms cardigan covers shoulder edges; close inner waist remains visible.
97	1.5	1	0	punk,everyday	layered	neutral	Open cardigan reveals straight tank and narrow hips.
98	1	0	1	tailored,goth	mixed	dark	Shirt and upper trousers follow narrow torso.
99	1.5	0	1	goth,tailored	fitted	dark	Close sheer top and upper trousers reveal proportions.
100	2.5	?	1	goth	layered	dark	Midriff visible; trimmed coat hides shoulder and hip edges.
101	1.5	?	1	goth,romantic	waist-defined	dark	Close bodice follows waist; flared skirt hides hips.
102	2.5	?	?	goth,romantic	waist-defined	dark	Back view; skirt held outward, unsuitable frontal comparison.
103	1.5	?	1	goth,romantic	waist-defined	dark	Fitted bodice shows indentation; held skirt hides hips.
104	2.5	?	1	goth,romantic	waist-defined	dark	Bodice follows broad torso; flared skirt obscures hips.
105	2.5	?	1	goth,romantic	waist-defined	dark	Close bodice and exposed limbs; flared lower garment.
106	2.5	?	1	goth,romantic	waist-defined	dark	Bodice follows waist; angled stance and held skirt.
107	1.5	?	1	goth,romantic	waist-defined	dark	Close waist visible; A-line skirt hides hip contour.
108	2.5	?	1	goth,romantic	waist-defined	dark	Broad upper torso with moderate indentation; full skirt.
109	1.5	?	1	goth,romantic,maximalist	waist-defined	multicolor	Close upper bodice; skirt deliberately spread wide.
110	2.5	?	?	goth,romantic	waist-defined	muted	Laced bodice shapes waist; A-line skirt hides hips.
111	2.5	?	?	dark-casual,romantic	waist-defined	dark	Belted shirt dress defines waist and conceals hips.
112	2.5	?	?	dark-casual,romantic	waist-defined	dark	Belt and full skirt prevent independent local comparisons.
113	2.5	?	1	goth,romantic	waist-defined	dark	Close bodice, broad limbs; skirt hides hip boundaries.
114	2.5	?	?	goth,romantic	waist-defined	dark	Back view; no frontal shoulder-to-hip assessment.
115	2.5	?	1	goth,romantic	waist-defined	dark	Bodice follows torso; held-out skirt conceals hips.
116	2.5	?	1	goth,romantic	waist-defined	dark	Close bodice above full skirt; moderate waist indentation.
117	1.5	?	?	goth	layered	dark	Fur-trimmed coat obscures actual shoulder and waist outlines.
118	1.5	?	?	goth	layered	dark	Coat trim and overlapping hands obscure body boundaries.
119	2.5	?	?	goth	layered	dark	Broad apparent torso; coat hides local proportions.
120	1.5	?	?	goth,tailored	layered	dark	Long structured coat conceals torso and hips.
121	1.5	?	1	goth,romantic	waist-defined	dark	Close upper top follows waist; long skirt conceals hips.
122	2.5	0	2	goth	fitted	dark	Enlarged close dress shows pronounced waist indentation relative to torso and hips.
123	2.5	?	1	goth,romantic	waist-defined	dark	Close top shows waist; full printed skirt hides hips.
124	1.5	?	1	goth,romantic	waist-defined	dark	Dress follows upper torso but flares over hips.
125	1.5	?	?	goth,romantic	waist-defined	dark	Tie-waist shirt dress creates the waist and skirt outline.
126	2.5	?	?	goth,romantic	waist-defined	dark	Broad arms and torso; belt and full skirt obscure local shape.
127	1.5	?	?	goth,romantic	waist-defined	dark	Shaped bodice and flared skirt confound independent labels.
128	2.5	-1	1	goth,everyday	mixed	dark	Short lace top and close jeans show broader hips.
129	2.5	-1	1	goth,everyday	mixed	dark	Close upper jeans wider than shoulders; moderate waist.
130	2.5	?	1	romantic,goth	waist-defined	muted	Fitted bodice follows torso; skirt obscures hip edges.
131	2.5	?	1	goth,romantic	waist-defined	dark	Sleeveless close bodice reveals waist; full skirt.
132	2.5	?	1	goth,romantic	waist-defined	dark	Upper contour visible; angled hips beneath flared skirt.
133	1.5	1	0	punk,everyday	layered	dark	Open cardigan reveals straight tank and narrow trousers.
134	2.5	-1	1	dark-casual,sport	mixed	dark	Leggings and close hoodie show hips broader than shoulders.
135	2.5	?	?	goth,tailored	layered	dark	Long coat conceals local torso and hip outline.
136	1	?	1	romantic	waist-defined	pastel	Narrow exposed limbs; fitted bodice and tiered skirt.
137	3	?	1	romantic,maximalist	waist-defined	neutral	Close top shows broad torso and waist; flowing skirt hides hips.
138	3	?	1	romantic,maximalist	waist-defined	neutral	Close torso visible above voluminous patterned skirt.
139	2	?	?	maximalist	mixed	colorful	Cape-like sleeves and jacket hide torso; exposed legs aid build.
140	2	?	?	maximalist,romantic	loose	multicolor	Wide jacket and flowing skirt obscure local proportions.
141	2	?	?	maximalist,romantic	loose	multicolor	Arms spread in wide jacket; lower silhouette dominated by skirt.
142	1.5	?	1	maximalist,everyday	layered	colorful	Open jacket exposes close midriff; shoulders concealed.
143	3	?	?	maximalist,romantic	mixed	multicolor	Arms extended in oversized jacket; gathered skirt hides hips.
144	3	0	1	workwear,maximalist	mixed	muted	Sleeveless coverall follows broad torso and upper hips.
145	3	0	1	workwear,maximalist	mixed	muted	Coverall follows broad waist and upper hip contour.
146	1.5	?	?	workwear,romantic	layered	pastel	Bib and loose blouse hide waist and shoulders.
147	2	?	?	maximalist,romantic	loose	colorful	Spread jacket and flowing dress obscure local proportions.
148	1.5	?	1	romantic	waist-defined	dark	Close upper bodice; full long skirt hides hips.
149	2	?	?	tailored	mixed	muted	Structured suit shapes shoulders and waist.
150	2	?	?	romantic,maximalist	waist-defined	colorful	Laced bodice shapes waist; wide trousers conceal hip breadth.
151	2	?	?	romantic,maximalist	waist-defined	colorful	Structured bodice and flared lower garment dominate outline.
152	3	?	?	maximalist,romantic	mixed	multicolor	Wide cape sleeves and full skirt; broad exposed legs.
153	1.5	?	?	romantic,sport	loose	pastel	Oversized hoodie obscures torso and hips.
154	2	?	1	romantic	waist-defined	pastel	Close bodice and exposed legs; held flared skirt hides hips.
155	1.5	?	?	goth,sport	loose	dark	Cape shoulders and loose top hide trunk proportions.
156	1.5	?	?	goth,sport	loose	dark	Loose hooded layer and shorts; narrow exposed legs.
157	1.5	?	?	goth,sport	loose	dark	Arms spread in loose sleeves; torso hidden.
158	1.5	?	?	goth,sport	loose	dark	Cape shoulder layer and joggers hide local contour.
159	1.5	?	?	goth,tailored	waist-defined	colorful	Structured coat creates shoulder and waist silhouette.
160	2	?	?	romantic,maximalist	waist-defined	colorful	Cape sleeves and full skirt; belt defines waist.
161	2.5	?	?	romantic,everyday	mixed	multicolor	Side view; blouse and flowing skirt obscure proportions.
162	2.5	?	1	everyday,maximalist	mixed	multicolor	Exposed waist and close upper trousers; raised arm limits shoulders.
163	?	?	?	romantic,maximalist	waist-defined	dark	Head crop, broad coat sleeves and held skirt obscure build.
164	3	?	?	romantic,everyday	mixed	colorful	Side view with broad torso; flowing skirt hides hips.
165	2	?	1	romantic,maximalist	waist-defined	pastel	Close sleeveless top follows waist; ruffled skirt hides hips.
166	1.5	?	?	romantic,sport	mixed	pastel	Loose crop hoodie and voluminous skirt obscure torso.
167	3	?	1	romantic,maximalist	waist-defined	pastel	Close tank reveals broad upper contour; full skirt hides hips.
168	2	?	1	romantic,maximalist	waist-defined	pastel	Close upper torso visible despite head crop; ruffled skirt.
169	3	0	1	maximalist,everyday	mixed	pastel	Close cutout tee and upper trousers reveal broad balanced contour.
170	2	0	1	maximalist,everyday	mixed	pastel	Close mesh top and upper trousers show moderate indentation.
171	2	?	?	punk,romantic	waist-defined	neutral	Corset and layered skirt construct local silhouette.
172	1.5	?	1	preppy,romantic	waist-defined	pastel	Close striped top; pleated skirt conceals hips.
173	2	?	?	romantic,goth	waist-defined	neutral	Structured bodice and hoop-like full skirt conceal proportions.
174	?	?	?	romantic,goth	loose	neutral	Layered dress, cape and low detail leave build uncertain.
175	?	?	?	goth,romantic	loose	dark	Full-length cape conceals entire body outline.
176	1.5	?	?	goth,tailored	layered	dark	Long tailored coat constructs shoulders and waist.
177	1	0	?	goth,romantic	fitted	dark	Bare shoulders and close upper skirt; corset shapes waist.
178	1.5	1	0	industrial,punk	mixed	dark	Hoodie follows straight torso above close cargo trousers.
179	1.5	0	1	goth,romantic	fitted	dark	Close dress follows shoulders, torso and upper hips.
180	1.5	?	?	romantic,punk	mixed	neutral	Loose billowing blouse conceals shoulder and waist outline.
181	?	?	?	goth	loose	dark	Long cape hides torso and upper legs.
182	1.5	?	?	goth,romantic	waist-defined	colorful	Long shaped coat supplies local waist and shoulder outline.
183	1.5	?	?	goth,tailored	waist-defined	colorful	Structured shoulders and flared coat conceal body relationships.
184	2.5	?	1	everyday	mixed	muted	Side pose; tee tucked above denim skirt shows waist.
185	2.5	-1	1	everyday	mixed	muted	Tee and close denim skirt show hips wider than shoulders.
186	2.5	?	1	preppy,everyday	waist-defined	neutral	Knit follows waist; flared skirt hides hips.
187	2.5	?	1	preppy,everyday	waist-defined	neutral	Close knit upper outline; full skirt hides hip width.
188	2.5	-1	1	everyday,sport	fitted	muted	Bandeau and close shorts show hips wider than shoulders.
189	2.5	?	1	everyday,sport	fitted	muted	Waist and hips visible; raised arm distorts shoulders.
190	2.5	-1	1	everyday,sport	fitted	muted	Close shorts and exposed shoulders show fuller lower outline.
191	2.5	?	1	romantic,everyday	waist-defined	pastel	Close bodice with flared skirt obscuring hips.
192	2.5	?	1	romantic,everyday	waist-defined	pastel	Side-turn and flared skirt block shoulder-to-hip judgment.
193	2.5	?	1	romantic,everyday	waist-defined	colorful	Turned stance and full skirt obscure hips; bodice follows waist.
194	2.5	?	1	romantic,everyday	waist-defined	colorful	Bodice fits broad torso; skirt held outward.
195	2.5	?	?	workwear,everyday	loose	muted	Oversized denim jacket hides torso despite visible legs.
196	2.5	-1	1	everyday,sport	mixed	neutral	Close tank and upper shorts show broader hips.
197	2.5	-1	1	everyday,sport	mixed	neutral	Visible tank and shorts contour; moderate waist indentation.
198	2.5	?	?	everyday,sport	mixed	neutral	Side view and loose tee obscure local comparisons.
199	2.5	?	1	romantic,everyday	waist-defined	neutral	Close top exposes waist; side view and skirt hide hips.
200	2.5	?	1	romantic,everyday	waist-defined	neutral	Bare shoulders and close top; gathered long skirt conceals hips.
201	2.5	-1	1	everyday	fitted	colorful	Close tank and straight skirt follow hip contour.
202	2.5	-1	1	everyday	fitted	colorful	Close garments show broader hips and indented waist.
203	2.5	-1	1	everyday,sport	mixed	pastel	Tank and upper shorts show lower-body breadth.
204	2.5	?	1	everyday,sport	mixed	pastel	Side view shows waist indentation but not frontal balance.
205	2.5	-1	1	everyday	fitted	neutral	Tank and short straight skirt follow torso and hips.
206	2.5	?	1	everyday	fitted	neutral	Side stance; local waist visible, width balance unavailable.
207	2.5	?	1	everyday	mixed	pastel	Side stance obscures frontal shoulders and hips.
208	2.5	-1	1	everyday	mixed	pastel	Close tank and upper shorts reveal wider hips.
209	2.5	-1	1	dark-casual,romantic	fitted	dark	Close lace dress follows broad hip and waist contour.
210	2.5	-1	1	dark-casual,romantic	fitted	dark	Dress follows torso and upper hips despite leaning pose.
211	2.5	-1	1	everyday	mixed	pastel	Tank and upper trousers reveal hips broader than shoulders.
212	2.5	?	1	everyday	mixed	pastel	Side view supports waist and build only.
213	2.5	?	1	romantic	waist-defined	neutral	Close bodice; flowing long skirt obscures hip breadth.
214	2.5	?	1	romantic	waist-defined	neutral	Side pose and full skirt hide frontal width relationship.
215	2.5	-1	?	workwear	loose	muted	Upper trouser sides show lower breadth; bib hides waist.
216	2.5	-1	?	workwear	loose	muted	Wide upper hip outline beneath bib; waist unresolved.
217	2.5	?	1	romantic	waist-defined	muted	Close bodice shows indentation; full skirt hides hips.
218	2.5	?	1	preppy,everyday	waist-defined	neutral	Side view with fitted knit; flared skirt.
219	2.5	?	1	preppy,everyday	waist-defined	neutral	Close knit above flared skirt concealing hips.
220	3	?	1	romantic,everyday	waist-defined	neutral	Close tee follows broad torso; tiered skirt hides hips.
221	3	?	1	romantic,everyday	waist-defined	neutral	Close tee shows moderate waist; long full skirt.
222	3	?	?	romantic,everyday	loose	neutral	Peplum blouse hides waist and hips; bent stance.
223	3	-1	1	everyday,workwear	mixed	muted	Tee and upper jeans follow broad hips.
224	3	-1	1	everyday,workwear	mixed	muted	Upper jeans and shoulders visible despite raised foot.
225	3	-1	1	everyday,workwear	mixed	muted	Tucked tee and close upper jeans show lower breadth.
226	3	-1	1	everyday,workwear	mixed	muted	Broad hips in jeans; moderately indented waist.
227	3	-1	1	everyday,workwear	mixed	muted	Tee and upper trousers follow torso and hip outline.
228	3	?	1	everyday,sport	mixed	neutral	Side view; tucked tee and shorts show waist only.
229	3	-1	1	everyday,sport	mixed	neutral	Upper shorts broader than shoulders; tucked tee follows waist.
230	3	-1	1	everyday,sport	mixed	muted	Tee and close upper shorts show broad lower contour.
231	3	?	1	everyday,sport	mixed	muted	Side stance obscures frontal width relationship.
232	3	-1	1	everyday,sport	mixed	muted	Close upper shorts and tucked tee support local comparison.
233	3	-1	1	everyday,sport	mixed	muted	Upper denim shorts and shoulder outline show broader hips.
234	3	-1	?	workwear,everyday	mixed	muted	Bib hides waist; upper shorts show broad hips.
235	3	-1	?	workwear,everyday	mixed	muted	Overalls conceal waist, with broad upper hip outline visible.
236	2.5	?	?	everyday,sport	mixed	colorful	Spread arms in loose blouse hide upper proportions.
237	2.5	?	?	everyday	layered	muted	Coat and loose knit conceal torso edges.
238	1.5	?	?	everyday,sport	loose	muted	Oversized knit and scarf conceal shoulders and waist.
239	3	0	2	everyday	fitted	muted	Enlarged tank and close skirt show pronounced waist indentation within broad balanced outline.
240	3	?	1	goth,romantic	waist-defined	dark	Close upper dress follows waist; held full skirt hides hips.
241	2	?	?	everyday,sport	loose	muted	Bent torso and loose hoodie hide local shape.
242	2.5	0	1	maximalist,everyday	mixed	colorful	Close red top and upper trousers show moderate indentation.
243	2.5	-1	1	everyday	fitted	muted	Close top and jeans show hips broader than shoulders.
244	3	0	1	punk,goth	mixed	dark	Close mesh top exposes broad torso above loose jeans.
245	3	?	1	goth,punk	fitted	dark	Close skirt and mesh top; raised arm alters shoulder outline.
246	3	?	1	goth,romantic	mixed	dark	Close upper top shows waist; bent leg and wide trousers obscure hips.
247	3	?	1	punk	fitted	neutral	Midriff and upper trousers visible; raised arm blocks width comparison.
248	2.5	?	?	maximalist,everyday	layered	colorful	Loose cardigan hides torso; close shorts and tights below.
249	1.5	?	?	dark-casual,tailored	layered	dark	Oversized jacket obscures waist and shoulders.
250	3	?	?	everyday	loose	neutral	Loose knit and gathered trousers obscure local boundaries.
251	3	0	1	maximalist,everyday	mixed	colorful	Cardigan and close upper denim skirt show broad balanced outline.
252	1.5	?	?	punk,sport	loose	dark	Oversized sweatshirt and raised knee hide local relationships.
253	2.5	?	?	everyday	loose	pastel	Long loose shirt hides waist and hips.
254	2	?	?	everyday,sport	loose	colorful	Loose tee and wide trousers obscure body contour.
255	2.5	0	1	punk,everyday	fitted	multicolor	Close inner top and short skirt reveal torso contour.
256	3	0	1	everyday	mixed	muted	Close tee and upper trousers show broad torso and waist.
257	3	?	?	everyday,sport	loose	pastel	Oversized belted tee and spread pose construct contour.
258	3	?	1	goth,romantic	waist-defined	dark	Bodice follows broad torso; flared skirt conceals hips.
259	1.5	?	1	goth,romantic	waist-defined	colorful	Fitted bodice visible; skirt flare hides hip width.
260	1.5	?	?	experimental,tailored	layered	colorful	Jacket and draped skirt hide local torso proportions.
261	1.5	?	?	punk,experimental	layered	multicolor	Long jacket and ruffled skirt obscure hips and waist.
262	1.5	?	?	experimental,romantic	loose	multicolor	Long tunic and lace skirt obscure underlying shape.
263	1.5	?	?	maximalist,punk	mixed	multicolor	Oversized rainbow knit hides torso above narrow trousers.
264	1.5	?	?	industrial,goth	waist-defined	neutral	Metallic structured coat and belt create outline.
265	1.5	?	?	industrial,goth	waist-defined	neutral	Coat supplies shoulders and waist; hips concealed.
266	1.5	0	1	industrial,experimental	fitted	neutral	Close body suit reveals torso contour beneath graphic straps.
267	1.5	0	1	industrial,experimental	fitted	neutral	Close suit follows shoulders, waist and upper hips.
268	1.5	?	?	experimental	loose	dark	Long loose graphic layer and wide trousers obscure body boundaries.
269	1.5	?	?	experimental	loose	dark	Long asymmetric shirt hides waist and upper hips.
270	2	?	?	punk,industrial	mixed	multicolor	Boxy short dress and turned stance obscure local shape.
271	2	?	?	punk,industrial	mixed	multicolor	Turned torso inside straight dress prevents local comparison.
272	1.5	?	?	punk	waist-defined	dark	Tee tucked beneath wide belt and pleated skirt.
273	1.5	?	?	punk	waist-defined	dark	Belt constructs waist; pleated skirt hides hip outline.
274	1.5	1	0	dark-casual,experimental	mixed	dark	Plain tee and close upper trousers show straight narrow torso.
275	1.5	1	0	dark-casual,experimental	mixed	dark	Tee follows upper contour above narrow hips.
276	2	?	?	goth,romantic	waist-defined	dark	Empire bodice and full tulle skirt hide waist and hips.
277	2	?	?	goth,romantic	waist-defined	dark	Full layered skirt obscures local contour; exposed arms and legs.
278	1.5	?	?	punk,maximalist	mixed	multicolor	Long tee and bags obscure waist and hip boundaries.
279	1.5	?	?	punk,maximalist	mixed	multicolor	Graphic tee, bags and accessories cover torso-to-hip junction.
280	1.5	1	0	dark-casual,tailored	fitted	dark	Sleeveless top and close trousers show broader shoulders.
281	1.5	?	?	experimental	layered	dark	Long paneled top and long skirt conceal waist and hips.
282	1.5	?	?	experimental	loose	neutral	Long tee and cardigan hide torso shape.
283	2.5	?	?	maximalist	waist-defined	multicolor	Fitted top but high flared skirt and belt conceal local body shape.
284	2.5	?	?	maximalist	waist-defined	multicolor	Flared patterned skirt hides hips; belt defines waist.
285	1.5	?	?	everyday,sport	loose	dark	Oversized tee covers waist and hips; exposed legs support build.
286	1.5	?	?	everyday,workwear	loose	neutral	Loose overalls and tee obscure local proportions.
287	1.5	0	0	tailored,experimental	mixed	neutral	Sleeveless top and upper trouser contour suggest straight balanced torso.
288	1.5	?	0	tailored,experimental	mixed	neutral	Side-turn limits width balance; torso appears straight.
289	1.5	?	?	romantic,maximalist	loose	colorful	Long loose dress conceals waist and hip outline.
290	1.5	?	?	goth,tailored	waist-defined	muted	Structured coat shapes torso and flares over hips.
291	1.5	?	?	goth,tailored	waist-defined	muted	Coat construction controls local body silhouette.
292	?	?	?	goth,romantic	loose	dark	Full veil and opaque long dress conceal body boundaries.
293	?	?	?	goth,romantic	loose	dark	Veil and layered dress prevent confident build comparison.
294	1.5	?	1	maximalist,sport	fitted	multicolor	Exposed midriff and close shorts; arms raised above shoulders.
295	1.5	?	1	maximalist,sport	fitted	multicolor	Close shorts and midriff visible; raised arms distort shoulder width.
296	1.5	1	1	punk,sport	mixed	muted	Bare shoulders and close crop top; visible upper hip outline.
297	?	?	?	kimono,maximalist	layered	multicolor	Wrapped robe, wide sleeves and obi conceal body proportions.
298	?	?	?	kimono,maximalist	layered	multicolor	Obi and layered kimono prevent independent body labels.
299	1.5	?	?	goth,romantic	waist-defined	dark	Corseted waist and widely flared coat dominate silhouette.
300	1.5	?	?	goth,romantic	waist-defined	dark	Structured waist and full skirt obscure natural local proportions.
301	1.5	?	?	experimental	loose	muted	Long loose dress hides waist and hips.
302	1.5	?	?	experimental	loose	muted	Continuous loose dress gives little local contour evidence.
303	2	?	?	punk,maximalist	layered	multicolor	Jacket, tee and accessories obscure torso edges.
304	2	?	?	punk,maximalist	layered	multicolor	Outer jacket and large accessories hide waist and hips.
305	1	1	0	punk,maximalist	fitted	multicolor	Bare shoulders and close trousers show narrow straight torso.
306	1	1	0	punk,maximalist	fitted	multicolor	Sleeveless top and close leopard trousers expose width balance.
307	2	?	?	romantic,goth	waist-defined	dark	Layered bodice and full skirt conceal local contour.
308	2	?	?	romantic,goth	waist-defined	dark	Cape-like sleeves and full skirt make local shape uncertain.
309	2	?	?	tailored,romantic	layered	dark	Structured jacket and patterned skirt hide local body outline.
