ordinal	build	shoulderHip	waist	view	clothing	evidence
40	?	?	?	reject	Two people in blue and purple printed short sets.	Two prominent people; no single body reference assigned.
41	3	?	?	partial	Navy suit with black shirt and burgundy brimmed hat.	Broad trunk and arms suggest fuller build; structured jacket and crop hide local contours.
42	2.5	0	1	partial	Black button-up shirt with gray tailored trousers.	Close shirt and trousers support intermediate-fuller build; widths roughly similar with moderate waist indentation.
43	1.5	?	?	partial	Black pinafore over checked top and dark tights.	Slim visible arm and legs support slender-intermediate build; side pose and loose pinafore hide local axes.
44	?	?	?	partial	Red cord jacket over white top and black skirt.	Loose jacket and lower crop obscure overall body breadth; visible hand alone insufficient.
45	?	?	?	detail	Red corduroy collar close-up.	Neck and shoulder detail only; no usable body landmarks.
46	2.5	?	?	partial	Blue fleece pullover with jeans.	Visible upper-leg breadth and overall trunk suggest intermediate-fuller build; bulky fleece hides shoulder and waist boundaries.
47	?	?	?	partial	Dark wide-leg cord trousers with cropped top edge.	Shoulders and limbs mostly absent; wide trousers do not establish body shape.
48	?	?	?	partial	Blue-green floral cardigan with lime top and dark trousers.	Loose cardigan and trousers hide body outline; no confident overall band or local comparison.
49	2.5	?	1	partial	Red-black motif cardigan and black trousers.	Visible close torso and upper legs suggest intermediate-fuller build; moderate waist indentation; cardigan hem obscures hip boundary.
50	1.5	?	?	partial	Leopard cardigan over black top and dark trousers.	Narrow inner torso and close upper legs support slender-intermediate build; oversized outer knit hides local axes.
51	?	?	?	partial	Black embroidered coat with burgundy furry trim.	Heavy collar, long coat and raised arms obscure body contours.
52	2	?	?	partial	Open embroidered black coat over black crop top and trousers.	Exposed midriff and close upper legs suggest intermediate build; coat blocks shoulders and lateral waist outline.
53	1.5	?	?	partial	Black-red patterned cardigan with black tee and jeans.	Narrow inner torso and close thighs; loose cardigan hides local proportions.
54	?	?	?	partial	Black serpent-pattern leggings with platform ankle boots.	Waist-down crop; lower-body outline alone does not establish overall build or shoulder/hip balance.
55	1.5	?	?	partial	White lace blouse with tiered black shorts and tights.	Narrow visible leg and trunk impression; side turn, loose blouse and ruffles hide local axes.
56	3	?	?	partial	Black mesh-sleeve top with tiered ruffle shorts and tights.	Broad visible thighs and upper trunk support fuller apparent build; shoulders cropped and ruffles hide hip outline.
57	1.5	?	?	partial	Pastel patterned short outfit with pale blue apron-like front.	Slim exposed forearms and thighs; loose decorative layers hide waist and hip contours.
58	?	?	?	partial	Black cape-collar jacket with structured waist and black trousers.	Cape, bulky sleeves and rigid waist shaping prevent a reliable body band or local comparison.
59	1.5	?	?	partial	Red-gold flared dress with long draped sleeves.	Slim exposed limbs; raised arm and flared costume silhouette obscure shoulders, hips and natural waist.
60	1.5	?	?	partial	Red-gold flared dress with bow and draped sleeves.	Visible forearms and small thigh section suggest slender-intermediate build; bodice gathering and skirt obscure local axes.
61	1.5	?	?	partial	Navy illustrated sweatshirt and navy trousers.	Relatively narrow trunk and upper legs; dropped sleeves and loose hem obscure local comparisons.
62	1.5	?	?	seated	Black printed sweatshirt with long dark skirt and tights.	Slim visible hands and leg contour plus compact torso; seated twist and layers obscure local axes.
63	2	?	?	seated	Mustard sleeveless top with floral trousers and white socks.	Exposed upper arms and close upper trunk suggest intermediate build; bent legs and side angle conceal local proportions.
64	2	?	?	partial	Green-brown embroidered cardigan and printed trousers.	Moderate trunk and thigh breadth; bulky knit and hands-in-pocket stance obscure shoulder and waist boundaries.
65	?	?	?	partial	Black embroidered wrap dress with tied waist.	Long sleeves and flared wrapped skirt hide body outline; belt is not natural waist evidence.
66	1.5	?	?	partial	Purple illustrated sweatshirt and dark trousers.	Relatively narrow upper legs and torso; loose sweatshirt hides shoulder/hip balance and waist.
67	3	?	?	partial	Lilac cropped blouse and pleated skirt with pink bow.	Broad exposed forearms and thighs support fuller build; loose blouse and pleated skirt hide local axes.
68	1.5	?	1	partial	White cropped tee and lilac pleated skirt.	Slim exposed arms and thighs; exposed waist shows moderate indentation; shoulders cropped and skirt hides hips.
69	3	?	?	partial	White lace-up top with pink-lilac tiered mini skirt.	Broad visible thighs and close sleeves support fuller build; structured bodice and ruffles conceal local proportions.
70	1.5	?	1	partial	White fitted camisole with pastel tiered mini skirt.	Slim bare arms and thighs; close camisole shows moderate waist indentation; ruffles conceal hip width.
71	1.5	?	?	partial	Pink lace-trim jacket and pleated skirt with large bow.	Slender exposed legs and compact trunk; tailored jacket and skirt hide local body outline.
72	3	?	?	partial	Pink lace-trim jacket and pleated skirt with bonnet.	Broad visible thighs and trunk support fuller build; jacket and skirt conceal local contours.
73	1.5	?	?	seated	Black-white tiered lace dress and bonnet.	Visible forearms and upper trunk suggest slender-intermediate build; seated pose and full skirt hide local axes.
74	2	?	?	partial	Lilac tiered pinafore over white blouse.	Exposed forearms and upper trunk suggest intermediate build; gathered waist and full skirt prevent local comparisons.
75	2	?	?	seated	Lilac tiered pinafore and white blouse with bow.	Exposed forearms and upper trunk suggest intermediate build; seated oblique pose and skirt hide waist and hips.
76	1.5	?	?	partial	Black textured hooded top with dark hardware trousers.	Relatively narrow torso and upper legs; loose hoodie obscures local contours.
77	1.5	1	1	partial	Black close short-sleeve hardware top with patterned trousers.	Slim exposed arms and close torso; shoulders broader than hips with moderate taper at waist. Small shoulder tabs add uncertainty.
78	1.5	?	?	partial	Black high-collar blouse with gathered sleeves and dark trousers.	Relatively narrow trunk and upper legs; loose sleeves and front drape conceal local proportions.
79	1	?	?	partial	Black sheer draped lace tunic over dark leggings.	Slender exposed forearms and close legs; draped tunic hides waist and hip outline.
80	1.5	?	?	partial	Cream-brown structured corset outfit with straps.	Slim exposed arms support slender-intermediate build; rigid corset and cropped hips invalidate local judgments.
81	1	0	1	partial	Black mesh top with fitted black high-waisted bottoms.	Slender arms and close visible trunk; similar shoulder/hip widths and moderate waist indentation.
82	3	?	?	partial	Loose white tee with pale denim shorts.	Broad forearms and close upper legs support fuller build; loose tee hides shoulders and waist.
83	3	?	?	partial	White tee with pale denim shorts, turned sideways.	Broad visible upper arms and close hips support fuller build; side pose and loose tee prevent local axes.
84	3	?	1	partial	Black sleeveless top with white skirt.	Broad bare arms and torso support fuller build; moderate waist indentation visible; angle and flared skirt hide hip comparison.
85	3	?	1	partial	Black sleeveless top with gathered white skirt.	Broad bare arms and close torso; moderate waist indentation; gathered skirt hides hip boundary.
86	3	?	1	partial	Olive sleeveless top and white skirt.	Broad exposed arms and close trunk; moderate waist indentation; skirt prevents shoulder/hip comparison.
87	3	?	1	partial	Olive sleeveless top with white skirt, hand at waist.	Broad bare arms and trunk; moderate waist indentation visible on free side; gathered skirt conceals hips.
88	1.5	?	?	seated	Gray wrap-front lounge jumpsuit.	Slim visible limbs and compact upper trunk; crossed legs and seated bend prevent local body comparison.
89	2	?	?	seated	Gray wrap-front lounge jumpsuit with dark socks.	Moderate arm and torso breadth; bent legs and seated torso compress waist and obscure hip relation.
90	2.5	?	?	seated	Black sheer patterned fitted short outfit.	Broad exposed thigh and arm support intermediate-fuller build; rear three-quarter kneeling pose prevents frontal local axes.
91	2.5	?	1	partial	Burgundy close tee with belted pale skirt and bag.	Visible arms and close torso support intermediate-fuller build; moderate waist indentation; skirt and bag conceal hips.
92	3	?	?	seated	Lime strapless fitted dress with sandals.	Broad exposed arms and legs support fuller build; reclining turn changes waist and width relationships.
93	2.5	?	?	seated	Pale floral off-shoulder dress.	Visible arms, thighs and trunk suggest intermediate-fuller build; reclining pose and raised knee obscure local axes.
94	?	?	?	partial	Oversized black graphic tee and patterned shoulder bag.	Loose tee and foreground bag cover torso and hips; exposed limb evidence insufficient.
95	1.5	?	?	partial	Bright green printed puff-sleeve dress.	Slender forearms and compact upper torso; puff sleeves and loose gathered skirt hide local axes.
96	1.5	?	1	partial	Black cropped tank, striped cardigan and dark trousers.	Slim bare arms and exposed midriff; moderate waist indentation; cardigan and lowered crop conceal hip comparison.
97	?	?	?	seated	Green-orange graphic tee, black jacket and navy trousers; wheelchair seated.	Loose layered torso and trousers conceal build; seated pose prevents local axis comparison. Seating itself is not a rejection.
98	?	?	?	seated	Green-orange graphic tee, black jacket and navy trousers; wheelchair seated.	Bulky jacket and loose trousers obscure body contours; no labels transferred from the other image.
99	?	?	?	partial	Pastel furry jacket, colorful graphic layers and hair accessories.	Bulky outerwear and crop conceal body shape; no visible limb support.
100	1.5	?	?	partial	Black-gray hardware vest and pleated mini skirt.	Slender exposed arms and narrow trunk; side angle, rigid vest and pleats prevent local judgments.
101	1.5	?	?	partial	Black-gray clasped vest with pleated mini skirt.	Slim bare arms and compact torso; rigid paneling and pleated skirt obscure waist and actual hip boundary.
102	1.5	?	?	partial	Olive hardware vest and pleated mini skirt, side view.	Slender exposed arm and narrow torso; side pose and structured outfit hide local axes.
103	1.5	?	?	partial	Olive clasped vest and pleated mini skirt.	Slim bare arms and compact torso; rigid vest and pleats prevent local body inference.
104	1.5	0	1	partial	Black sleeveless button-front fitted mini dress and fishnets.	Slender bare arms and close hips; similar shoulder/hip width with moderate waist indentation; material shaping limits confidence.
105	1.5	?	?	partial	Black sleeveless button-front mini dress, side view.	Slender bare arm and narrow trunk; strong turn and leather-like material prevent local comparisons.
106	2	?	1	full	Navy denim button-front midi dress and black ankle boots.	Moderate visible calves and close trunk support intermediate build; moderate waist indentation; pocket stance and stiff skirt limit hip comparison.
107	2.5	?	?	full	Dark plaid belted shirt dress and brown tall boots.	Moderately broad visible thighs and trunk support intermediate-fuller build; belted loose dress and crossed stance hide local proportions.
108	1.5	?	1	full	Orange shirt dress with tie belt and tan pumps.	Slim bare calves and forearms; moderate torso indentation visible above belt; skirt hides hip boundary.
109	3	?	1	partial	Black close top with white layered athletic shorts.	Broad forearms, trunk and visible thighs support fuller build; moderate waist indentation; loose outer shorts obscure hips.
110	2.5	?	1	back	White tee with blue jeans, rear three-quarter view.	Broad close hips and exposed arms suggest intermediate-fuller build; back waist narrows moderately; turn prevents frontal width comparison.
111	1.5	?	?	full	Dark off-shoulder draped top with pale wide trousers.	Narrow visible shoulder region and upper trunk suggest slender-intermediate build; draping and wide trousers hide local axes.
112	1.5	?	?	full	Gray top with black wide-leg trousers and cap.	Narrow close upper trunk and arms; raised arm and loose trousers obscure shoulder/hip and waist comparisons.
113	1.5	?	?	full	Gray short collared top over white tee and black wide trousers.	Narrow arms and upper trunk; layered top and loose trousers hide local contours.
114	1.5	?	?	full	Gray collared top, black long skirt and green cap.	Narrow arms and upper torso suggest slender-intermediate build; skirt and waist bag hide local relationships.
115	1.5	?	1	full	Black close cold-shoulder top with pale baggy trousers.	Slim exposed shoulder/arm and close torso; moderate waist indentation; baggy trousers conceal hip boundary.
116	1.5	?	?	partial	Red patterned suit with white shirt and dark ribbon tie.	Narrow visible upper legs and trunk; suit shoulder structure and open jacket prevent local body inference.
117	1.5	?	?	partial	White portrait-print tee and pale striped trousers.	Slim exposed forearms and moderately narrow torso; loose tee conceals waist and hip relationship.
118	1.5	?	?	partial	Dark striped polo with olive trousers and chain.	Slim exposed forearms and narrow upper legs; loose polo hides waist and hip outline.
119	1.5	?	?	partial	Gray vest and trousers over white tee with chain.	Slim exposed forearms and narrow trunk; angled pose and structured vest obscure local axes.
120	2.5	?	?	partial	Dark green floral short-sleeve shirt and wide black hat.	Broad exposed upper arm and trunk suggest intermediate-fuller build; raised arm, turn and hip crop preclude local comparisons.
