ordinal	view	build	shoulderHip	waist	evidence	presentation
60	partial	2.5	1	1	Blue striped fitted shirt with cream tailored trousers; broader shoulders and moderate waist taper.	M
61	reject	?	?	?	Repeated striped blue shirt cuff-adjusting crop.	U
62	detail	?	?	?	Trouser-focused crop without shoulders.	U
63	detail	?	?	?	Fabric swatch.	U
64	partial	2.5	?	?	Blue fitted shirt and cream tailored trousers; raised forearm and torso angle obscure waist comparison.	M
65	reject	?	?	?	Repeated blue shirt cuff-adjusting crop.	U
66	partial	2	?	?	Velvet wrap top and dark skirt; mirror and torso angle plus loose wrap conceal contours.	F
67	partial	2.5	?	?	Velvet wrap top with black lower garment; hand at waist and wrap gathering obscure contour axes.	F
68	back	?	?	?	Rear three-quarter stair pose.	U
69	reject	?	?	?	Rear crouching pose obscures front outfit and body contours.	U
70	full	2.5	?	?	Burgundy jacket over tee and black leggings; jacket and bent arm hide waist and shoulder comparison.	U
71	full	2.5	?	1	Black mesh cutout crop top and leggings; moderate waist indentation visible, but enlarged review shows tilted shoulders and raised arm preventing reliable width comparison.	F
72	reject	?	?	?	Seated repeat of pink knit set retained at 73.	U
73	partial	3	?	?	Pink oversized knit sweater and matching trousers; crossed arms and bulky knit conceal contour axes.	U
74	reject	?	?	?	Repeated seated pink knit set.	U
75	reject	?	?	?	Repeated burgundy cardigan and pleated mini ensemble retained frontally at 76.	U
76	full	2.5	?	?	Long burgundy cardigan, black top and pleated mini with boots; cardigan and flared skirt obscure contours.	D
77	full	2.5	?	?	Cream belted knit mini with dark tights and boots; oversized sleeves and belt distort contour comparison.	D
78	detail	?	?	?	Belt and bag crop omits shoulders.	U
79	full	3	?	?	Brown belted knit mini with tights and dark sneakers; roomy sleeves obscure shoulder width and waist.	D
80	detail	?	?	?	Belted torso detail omits shoulders.	U
81	full	2	?	?	Cream knit midi and heeled sandals; loose sleeves, extended arm and belt obscure body axes.	D
82	reject	?	?	?	Repeated cream midi outfit side view.	U
83	full	3	?	?	Plum knit midi with black ankle boots; gathered waist and wide sleeves conceal contour axes.	D
84	back	?	?	?	Rear knit dress view.	U
85	full	3	?	?	Black knit mini with patterned tights and heels; wide sleeves and belt conceal underlying contours.	D
86	detail	?	?	?	Pocket and waist tie close-up.	U
87	full	3	?	?	Dark knit midi with patterned tall boots; wide sleeves, waist tie and raised arm obscure contours.	D
88	reject	?	?	?	Repeated dark knit midi styling; leaning pose adds no reliable contour evidence.	U
