ordinal	build	shoulderHip	waist	view	clothing	evidence
80	1.5	?	?	partial	Black plush-hood jacket and washed trousers.	Relatively narrow hips and arms support approximate build; bulky hood and sleeves hide local contours.
81	1.5	?	?	full	Black off-shoulder gown with red details.	Narrow exposed shoulders and arms support build; bodice structure and large skirt conceal local axes.
82	1.5	?	?	partial	Black cutout dress and rigid waist belt.	Narrow arms and trunk support build; corset-like belt and angled pose invalidate waist comparison.
83	2.5	?	?	partial	Red tee and white dotted skirt.	Substantial trunk and exposed arms support build; gathered skirt and turned pose obscure local axes.
84	2.5	?	?	seated	Black graphic tee, red leggings and boots.	Substantial trunk and thighs support build; crouched seated pose and raised arm prevent local comparison.
85	2	?	?	partial	Black shearling jacket and fitted dark top.	Visible central trunk supports intermediate build; jacket and raised arm hide shoulder and waist contours.
86	1.5	?	?	partial	Dark jacket, cream sweater and light jeans.	Relatively narrow trunk and hips support build; layered knit and outerwear hide local axes.
87	3	?	?	seated	Pink tee, plaid skirt and mustard socks.	Broad arms, trunk and visible bent thigh support fuller build; seated pose and skirt obscure local comparisons.
88	2.5	?	?	partial	Loose gray graphic tee and blue trousers.	Moderately broad trunk and visible arms support build; loose clothes and turned stance hide local contours.
89	2.5	?	1	partial	Red crop top with mesh sleeves and denim shorts.	Substantial trunk and thighs support build; moderate waist indentation visible, but tilted pelvis and forward thigh prevent stable shoulder/hip comparison.
90	?	?	?	detail	Pink jacket and pink top.	Head and upper-chest crop lacks sufficient body context.
91	1.5	?	?	partial	Pinstripe jacket and white graphic tee.	Relatively narrow upper trunk and arms support build; jacket and cropped hips prevent local comparison.
92	?	?	?	partial	Oversized metallic coat and crossbody bag.	Bulky coat and bag conceal trunk and hips.
93	1.5	?	?	partial	Black buckled long jacket and trousers.	Narrow arms and trunk support build; tailored panels and oblique stance hide local contours.
94	1.5	?	?	partial	Black buckled long jacket and trousers.	Narrow arms and hips support build; rigid buckled panels hide underlying waist and shoulders.
95	1.5	?	?	partial	Pink-red striped knit and purple trousers.	Narrow trunk and arms support build; loose knit and cropped hips obscure local axes.
96	1.5	?	?	partial	Pink-red striped knit and black trousers.	Narrow trunk and arms support build; hanging knit conceals waist and upper hips.
97	1.5	?	?	partial	Black skull hoodie and dark trousers.	Relatively narrow arms and hips support build; hoodie and harness hide local contours.
98	1.5	?	?	partial	Black skull hoodie and dark trousers.	Narrow trunk and arms support build; loose hoodie hides underlying local contours.
99	1.5	?	?	partial	Olive strapped jacket and dark trousers.	Relatively narrow trunk and arms support approximate build; stiff jacket construction obscures local axes.
100	3	-1	?	full	Black V-neck tee, fitted jeans and sneakers.	Broad arms and legs support fuller build; hips appear broader than shoulders; loose tee hides waist.
101	2	?	?	full	Loose magenta top and wide trousers.	Visible arms and modest trunk support intermediate build; loose garments obscure waist and hips.
102	?	?	?	partial	Striped top and black skirt close-up.	Shoulders and upper trunk cropped; skirt conceals enough context to leave overall build unknown.
103	2.5	?	?	partial	Green blazer, blouse and trousers.	Substantial central trunk and hips support approximate build; loose blouse and jacket conceal local contours.
104	1.5	?	?	partial	Olive pullover and dark trousers.	Relatively narrow trunk supports build; raised crossed arms and loose knit invalidate local comparison.
105	?	?	?	partial	Beige zip knit with folded arms.	Crop and folded arms obscure lower trunk and hips; no sufficient whole-build comparison.
106	2.5	?	?	full	Dark gray long dress and boots.	Substantial trunk supports approximate build; draped dress, hand in pocket and leaning pose prevent reliable local comparisons.
107	1.5	?	?	full	Black short-sleeve tee and wide jeans.	Narrow arms and trunk support build; wide jeans and hanging tee hide local axes.
108	1.5	?	?	full	Dark fitted henley and wide trousers.	Narrow forearms and trunk support build; bag, turn and wide trousers hide shoulder/hip and waist comparison.
109	1.5	?	?	full	Navy polo and wide tan trousers.	Narrow exposed arms and trunk support build; tucked top and wide trousers hide local contours.
110	1.5	?	?	full	Open pale shirt, white tank and wide dark jeans.	Narrow central trunk and exposed upper chest support build; open shirt and wide jeans obscure local axes.
111	1.5	?	?	full	Black polo and wide dark trousers.	Narrow arms and trunk support build; hand, loose trousers and tucked polo hide local contours.
112	1.5	?	?	full	White tee, wide dark trousers and red bag.	Narrow arms and modest trunk support build; loose garments and bag obscure local axes.
113	1.5	?	?	full	Fitted burgundy top and wide cropped trousers.	Narrow trunk and visible lower legs support build; oblique pose and wide trousers prevent local comparison.
114	1.5	?	?	full	Black leather-look jumpsuit.	Narrow exposed arms and modest trunk support build; stiff fabric and drawstring shaping obscure local axes.
115	1.5	?	?	partial	Blue patterned suit jacket and black tee.	Relatively narrow trunk and arms support approximate build; tailored jacket and crop obscure local comparisons.
116	?	?	?	seated	Blue patterned suit with vest and sneakers.	Seated wide-leg stance, layered tailoring and raised arm conceal sufficient independent build cues and local contours.
117	2.5	?	?	partial	Blue polo and striped trousers.	Substantial torso and exposed arms support build; loose shirt hem and crop obscure local contours.
118	1.5	0	?	partial	Blue polo and jeans.	Narrow trunk and arms; shoulder and hip widths appear similar, but loose tucked polo conceals underlying waist indentation.
119	1.5	?	?	partial	Black-white patterned suit and tie.	Relatively narrow trunk and arms support build; tailoring and leaning pose obscure local axes.
120	3	?	?	partial	Black shirt and blue jeans.	Broad trunk and exposed forearms support fuller build; raised shoulders, hands and crop obscure local comparisons.
