ordinal	view	build	shoulderHip	waist	presentation	evidence
103	reject	?	?	?	U	Repetitive varsity jacket view from ordinal 28.
104	reject	?	?	?	U	Repeated grey tee outfit from ordinal 30; leaning seated pose.
105	full	3	?	?	U	Grey tee, dark shorts and white trainers; clasped hands and loose hem.
106	detail	?	?	?	U	Head and upper torso crop.
107	full	3	?	?	U	Grey tee, black trousers and white shoes; oblique pose and loose hip coverage.
108	detail	?	?	?	U	Neckline close-up.
109	detail	?	?	?	U	Sweater shoulder close-up.
110	detail	?	?	?	U	Sweater pocket close-up.
111	full	1.5	?	?	D	Grey sweater, black wrap skirt and boots; bulky top and straight skirt hide contours.
112	reject	?	?	?	U	Repeated wrap skirt outfit from ordinal 111.
113	detail	?	?	?	U	Coverall waistband close-up.
114	back	?	?	?	U	Rear black coverall.
115	detail	?	?	?	U	Striped shirt wrap detail without complete shoulders.
116	reject	?	?	?	U	Two equally prominent subjects.
117	detail	?	?	?	U	Suit lapel close-up.
118	detail	?	?	?	U	Suit pocket close-up.
119	detail	?	?	?	U	Trouser pocket close-up.
