ordinal	build	shoulderHip	waist	view	clothing	evidence
59	1.5	?	?	partial	Pale blue ruffled dress.	Narrow arms and trunk; skirt held outward and bodice gathers obscure local axes.
60	2.5	?	?	partial	Blue shirt and suspender shorts.	Substantial arms and thighs with moderate broad trunk; garment construction obscures waist.
61	1.5	?	?	partial	Pastel shirt and suspender outfit.	Narrow exposed arms and legs; bouquet and side turn hide trunk ratios.
62	2.5	?	?	partial	Pastel patterned shirt and white skirt.	Substantial arms and thighs; loose shirt and full skirt hide local axes.
63	2.5	?	?	partial	Pastel patterned shirt and white skirt.	Substantial visible arms and thighs; skirt and shirt conceal local contours.
64	?	?	?	partial	Burgundy long coat.	Side turn and structured full coat conceal body contours.
65	?	?	?	partial	Burgundy cable sweater and plaid skirt.	Bulky knit sleeves and trunk prevent reliable build judgment.
66	3	?	?	partial	White top and pastel ruffled skirt.	Broad fitted torso and thighs; side turn and skirt obscure local axes.
67	2	?	1	partial	Sheer white top and pastel skirt.	Moderate arms and fitted trunk taper; ruffles conceal hips.
68	2	?	?	partial	Lavender sailor top and pleated skirt.	Moderate arms and legs; boxy top and pleats obscure ratios.
69	?	?	?	partial	Pastel jacket and ruffled skirt.	Structured jacket and ruffles conceal contours.
70	?	?	?	partial	Pink jacket and dress.	Jacket conceals trunk and arms; skirt hides hips.
71	?	?	?	partial	Pink jacket and dress.	Structured jacket and flared skirt obscure body breadth.
72	1.5	?	?	partial	Pink cardigan and lace dress.	Narrow arms and upper trunk; layered dress obscures waist and hips.
73	3	?	?	partial	Pink mesh tee and tiered skirt.	Broad arms and trunk with broad visible legs; loose tee and ruffles obscure ratios.
74	?	?	?	partial	Pink hooded top and shorts.	Oversized sleeves and bloused torso obscure build.
75	?	?	?	partial	Pink hooded top and lavender skirt.	Bulky top and skirt conceal contours.
76	?	?	?	partial	Pink jacket and pleated skirt.	Structured shoulders and skirt hide independent body contours.
77	?	?	?	partial	Pastel skeleton sweater and trousers.	Loose knit and forward lean obscure build and local ratios.
78	3	?	?	partial	Pastel hoodie and shorts over white top.	Broad exposed trunk and thighs; open layer obscures width comparison.
79	1.5	?	?	partial	Lavender cardigan and black skirt.	Narrow exposed arms and thighs; cardigan hides trunk axes.
80	3	?	1	partial	White graphic top and blue skirt.	Broad arms and thighs with fitted trunk taper; skirt obscures hips.
81	2	?	1	partial	White graphic top and blue skirt.	Moderate arms and thighs with fitted torso taper; flared skirt hides hip width.
82	3	?	?	partial	White top with lace corset and black skirt.	Broad arms and trunk; corset and leaning pose invalidate waist observation.
83	1.5	?	1	partial	Black dotted tank and pleated skirt.	Narrow arms and fitted trunk taper; skirt hides hip contour.
84	3	?	?	partial	Blue tiered dress.	Broad exposed arms and trunk; gathered dress conceals local axes.
85	3	?	1	partial	Dotted black tank and pleated skirt.	Broad arms and torso with moderate taper; pleated skirt hides hips.
86	?	?	?	detail	Black long-sleeve top.	Portrait crop omits lower trunk and hips.
87	2	?	1	full	Teal fitted top and black trousers.	Moderate arm and trunk breadth with taper; pocketed hands and trousers obscure hips.
88	?	?	?	full	Black duffle coat and burgundy trousers.	Bulky coat conceals body contours.
89	?	?	?	detail	Lavender button shirt.	Tight upper-body crop and raised arms prevent body-axis judgment.
90	?	?	?	full	Burgundy sweater and red skirt.	Thick knit and full skirt conceal independent body breadth.
91	?	?	?	partial	Denim jacket and pink turtleneck.	Jacket and upper crop conceal body contours.
92	?	?	?	partial	Gray blazer and dark shirt.	Structured blazer conceals trunk and shoulders.
93	1.5	?	?	full	Olive straight dress and black boots.	Narrow arms and overall trunk support build; straight dress hides waist and hips.
94	2	?	?	partial	Black cardigan and jeans.	Moderate trunk and arms; cardigan and pocketed hands obscure waist and hips.
95	?	?	?	partial	Mustard cardigan.	Loose knit and cropped hips prevent reliable breadth judgment.
96	2.5	?	?	partial	Knotted denim shirt and black trousers.	Substantial forearms and trunk; knot and pocketed hands obscure local axes.
97	2.5	?	?	partial	Plaid shirt and black trousers.	Substantial arms and trunk; raised arm and loose shirt invalidate ratios.
98	?	?	?	detail	Magenta cardigan.	Portrait crop omits lower trunk and hips.
99	1.5	?	?	full	Gray off-shoulder top and loose trousers.	Narrow trunk and arms; slouch and loose fabric obscure local axes.
100	?	?	?	back	Black top and jeans.	Back turn and loose top obscure independent upper-body contours.
101	2.5	?	1	full	Navy fitted top and jeans.	Substantial trunk and arms with moderate taper; hip shift obscures width balance.
102	1.5	?	?	full	White tee and wide jeans.	Narrow visible arms and trunk; tee and wide denim obscure local axes.
103	1.5	?	?	full	White graphic tee and gray wide trousers.	Narrow arms and trunk; raised hand and loose trousers hide proportions.
104	1.5	?	?	full	Dark tee and wide black trousers.	Narrow arms and trunk; loose fabric conceals waist and hips.
105	2	?	1	full	Fitted black polo and wide jeans.	Moderate arm and trunk breadth with visible taper; wide jeans obscure hips.
106	1.5	?	?	full	White lace top and pleated trousers.	Narrow exposed arms and trunk; flared top hides local contours.
107	1.5	?	?	full	White loose shirt and pale trousers.	Narrow forearms and trunk impression; billowing garments obscure ratios.
108	2	?	?	full	Black polo and wide jeans.	Moderate arms and trunk; bloused polo and wide jeans obscure local axes.
109	1.5	?	?	full	Open white shirt and jeans.	Narrow central trunk and forearms; outer shirt and wide jeans conceal ratios.
110	1.5	?	?	full	Cream textured top and tan trousers.	Narrow arms and trunk; textured top and pleats obscure waist and hips.
111	1.5	?	?	full	Black asymmetric outfit and boots.	Narrow arms and exposed leg with narrow trunk; belt and skirt obscure local axes.
112	1.5	?	?	full	Black cropped tee and burgundy trousers.	Narrow arms and trunk; turned stance and roomy trousers obscure ratios.
113	1.5	?	?	full	Checked shirt and wide black trousers.	Narrow trunk and forearms; loose trousers obscure hip contour.
114	1.5	?	1	full	Tan fitted top and brown trousers.	Narrow arms and torso with moderate taper; wide trousers hide hip balance.
115	1.5	?	?	full	White tee with draped sweater and black trousers.	Narrow exposed arms and central trunk; shoulder layer and trousers obscure ratios.
116	1.5	?	?	full	Black tee and wide trousers.	Narrow exposed forearms and trunk; loose fabric obscures waist and hips.
117	1.5	?	?	full	White lace top and gray trousers.	Narrow arms and trunk; tied sweater and trousers conceal local axes.
118	2	?	?	full	White fitted long-sleeve top and jeans.	Moderate trunk and arms; crossed arms hide waist and jeans hide hips.
119	1.5	?	?	full	Open checked shirt and black trousers.	Narrow arms and central trunk; open shirt and trousers conceal local axes.
120	?	?	?	full	Pale blue oversized shirt and gray trousers.	Oversized sleeves and trunk plus wide trousers obscure independent body contours.
