ordinal	view	build	shoulderHip	waist	presentation	evidence
55	detail	?	?	?	U	Side shorts pocket close-up with little outfit context.
56	detail	?	?	?	U	Flat cream shorts product photograph.
57	reject	?	?	?	U	Shirtless boating promotional view outside clothed outfit reference scope.
58	detail	?	?	?	U	Flat pleated shorts product photograph.
59	detail	?	?	?	U	Shorts partly hidden behind steering wheel; outfit absent.
60	detail	?	?	?	U	Flat raglan tee product photograph.
61	detail	?	?	?	U	Tee chest embroidery detail only.
62	detail	?	?	?	U	Flat cream shirt product photograph.
63	reject	?	?	?	U	Swimwear-led beach promotion outside clothed outfit scope.
64	detail	?	?	?	U	Flat black blazer product photograph.
65	detail	?	?	?	U	Blazer collar detail only.
66	detail	?	?	?	U	Flat navy shorts product photograph.
67	full	1.5	?	?	M	Navy blazer and matching shorts over white vest with sandals; slim build, jacket and pocketed hands conceal hips.
68	detail	?	?	?	U	Flat burgundy bomber product photograph.
69	back	?	?	?	U	Rear bomber view; no front outfit contour.
70	detail	?	?	?	U	Flat green shirt product photograph.
71	detail	?	?	?	U	Monochrome shirt artwork and hanger close-up.
72	detail	?	?	?	U	Flat brown trousers product photograph.
73	reject	?	?	?	U	Brown trouser crop repeats fuller suited outfit at 77.
74	detail	?	?	?	U	Flat navy trousers product photograph.
75	partial	1.5	?	?	M	Navy blazer and trousers over white vest with loafers; slim visible frame, crop and jacket prevent shape labels.
76	detail	?	?	?	U	Flat brown blazer product photograph.
77	full	1.5	?	?	M	Brown suit over white ringer tee with loafers; slim build, loose tailoring and pocketed hands obscure waist and hips.
78	detail	?	?	?	U	Flat yellow trousers product photograph.
79	reject	?	?	?	M	Yellow colorway repeats relaxed suit styling and pose at 77.
80	detail	?	?	?	U	Flat navy work jacket front.
81	detail	?	?	?	U	Flat navy work jacket rear.
82	detail	?	?	?	U	Flat olive field jacket.
83	back	?	?	?	U	Rear field jacket view.
84	detail	?	?	?	U	Flat pale blazer.
85	back	?	?	?	U	Rear pale blazer view.
86	detail	?	?	?	U	Flat cream trousers.
87	back	?	?	?	U	Rear trouser crop.
88	detail	?	?	?	U	Flat brown work jacket.
89	back	?	?	?	U	Rear brown work jacket view.
90	detail	?	?	?	U	Flat blue work jacket.
91	back	?	?	?	U	Rear blue work jacket view.
92	detail	?	?	?	U	Flat dark work jacket.
93	back	?	?	?	U	Rear dark work jacket view.
94	detail	?	?	?	U	Flat collarless black jacket.
95	back	?	?	?	U	Rear collarless black jacket view.
96	detail	?	?	?	U	Flat blue wrap jacket.
97	back	?	?	?	U	Rear blue wrap jacket view.
98	detail	?	?	?	U	Flat navy jacket.
99	back	?	?	?	U	Rear navy jacket view.
100	detail	?	?	?	U	Flat olive collarless jacket.
101	back	?	?	?	U	Rear olive collarless jacket view.
102	detail	?	?	?	U	Flat dark cord jacket front.
103	detail	?	?	?	U	Flat dark cord jacket rear.
104	detail	?	?	?	U	Flat contrast-collar pale jacket.
105	back	?	?	?	U	Rear contrast-collar pale jacket view.
106	detail	?	?	?	U	Flat navy field jacket.
107	back	?	?	?	U	Rear navy field jacket view.
108	detail	?	?	?	U	Flat pale blue shirt jacket.
109	back	?	?	?	U	Rear pale blue shirt jacket view.
110	detail	?	?	?	U	Flat cream embroidered bomber.
111	back	?	?	?	U	Rear cream embroidered bomber view.
112	detail	?	?	?	U	Flat dark double-breasted blazer.
113	back	?	?	?	U	Rear double-breasted blazer view.
114	detail	?	?	?	U	Flat dark single-breasted blazer.
115	back	?	?	?	U	Rear single-breasted blazer view.
116	detail	?	?	?	U	Flat brown bomber.
117	back	?	?	?	U	Rear brown bomber view.
118	detail	?	?	?	U	Flat striped trousers front.
119	detail	?	?	?	U	Flat striped trousers rear.
120	full	3	?	?	U	Green crew tee, black trousers and white sneakers; broad torso and limbs, loose hem and oblique stance obscure individual axes.
121	full	3	?	?	U	Green V-neck, black trousers and white sneakers; broad build, clasped hands and hanging tee conceal waist and hips.
122	full	3	?	?	U	Blue long-sleeve basic with black trousers and gray sneakers; broad torso, loose hem conceals shape.
123	full	3	?	?	U	Olive basic tee and dark trousers with chunky sneakers; broad build, angled stance and hem obscure waist and hip balance.
124	reject	?	?	?	U	Blue tee colorway repeats the fuller outfit at 123.
125	reject	?	?	?	U	Burgundy tee colorway repeats the fuller outfit at 123.
126	full	3	?	?	U	Green long-sleeve basic, dark trousers and sneakers; broad torso, loose fabric across waist and hips.
127	reject	?	?	?	U	Burgundy long-sleeve colorway repeats the represented basic ensemble.
128	reject	?	?	?	U	Blue tee colorway repeats the fuller basic outfit at 120.
129	reject	?	?	?	U	Blue tee colorway repeats the fuller basic outfit at 123.
130	reject	?	?	?	U	Burgundy tee colorway repeats the fuller basic outfit at 120.
131	full	3	?	?	U	Olive short-sleeve hoodie with black trousers and sneakers; broad torso, loose hanging hem conceals axes.
132	full	3	?	?	U	Black short-sleeve hoodie, light jeans and sneakers; broad torso, oblique stance and untucked hem obscure individual axes.
133	full	3	?	?	U	White tee, blue tapered trousers and sneakers; broad torso, oblique pose and hanging tee conceal shape.
134	full	3	?	?	C	Taupe camp shirt, cropped black trousers and loafers; broad build, draped shirt and hands obscure waist and hips.
135	full	3	?	?	C	Olive collared shirt, black trousers and loafers; broad build, loose hem and clasped hands prevent independent shape labels.
136	full	1.5	?	?	C	Olive field jacket over blue collar, cream trousers and sneakers; slim visible frame, layered jacket obscures waist and hips.
137	full	1.5	?	?	M	Pale blazer over navy tee with wide dark trousers; slim visible build, tailoring and loose trousers obscure contour axes.
138	partial	?	?	?	U	Cream pleated trousers and shoes with cropped black hem; upper torso absent.
139	full	1.5	?	?	C	Brown work jacket over white collar with gray trousers and sneakers; slim build, pocketed hands and jacket obscure shape.
140	full	1.5	?	?	C	Blue work jacket, cropped gray trousers and navy sneakers; slim visible frame, hanging jacket obscures waist and hips.
141	full	1.5	?	?	C	Dark work jacket over white shirt with dark trousers and cream sneakers; slim-to-average visible frame, layered torso obscures axes.
142	partial	1.5	?	?	C	Black utility jacket over gray tee with black trousers; slim visible frame, pockets and lower crop obscure shape.
143	full	1.5	?	?	C	Blue wrap work jacket over black tee and shorts with sneakers; slim limbs, jacket and loose shorts conceal waist and hips.
144	full	1.5	?	?	C	Navy work jacket over patterned shirt with wide blue trousers; slim visible frame, loose layered garments obscure axes.
145	full	1.5	?	?	C	Olive utility jacket and matching shorts with cream sneakers; slim limbs, turned stance and layers prevent contour comparison.
146	partial	1.5	?	?	C	Pale contrast-collar jacket over striped shirt and navy trousers; slim frame, lower crop and jacket obscure shape.
147	full	1.5	?	?	C	Navy field jacket with dark shirt and trousers and cream sneakers; slim visible frame, structured layers obscure waist and hips.
148	full	1.5	?	?	C	Pale blue shirt jacket over dark collar with brown trousers and sneakers; slim frame, loose jacket obscures waist and hips.
149	full	1.5	?	?	C	Cream embroidered bomber over yellow shirt with wide navy trousers and sneakers; slim visible frame, padded layers conceal contour axes.
150	partial	1.5	?	?	M	Dark double-breasted suit over white collar; slim frame, structured jacket and pocketed hands conceal waist and hips.
151	full	1.5	?	?	M	Dark single-breasted blazer with white shirt and cream trousers; slim build, structured jacket conceals waist and hips.
152	full	1.5	?	?	C	Brown bomber and matching trousers with cream sneakers; slim visible frame, bloused jacket and loose trousers obscure shape.
