ordinal	build	shoulderHip	waist	view	clothing	evidence
44	3	?	?	partial	Black top and belted strappy mini skirt.	Broad arms, trunk and thighs support build; belt and pose obscure natural waist and hip comparison.
45	?	?	?	partial	Long black patterned cardigan and jeans.	Long loose layers conceal trunk and upper legs; build uncertain.
46	1.5	?	?	partial	White shirt and fitted tartan trousers.	Narrow lower trunk and legs support build; shoulders and most torso cropped.
47	2.5	?	?	seated	Burgundy sweater and gray trousers.	Broad upper trunk and arms support approximate build; seated pose and piano obscure waist and hips.
48	3	?	?	partial	Green vest over white shirt.	Broad trunk and arms support build; leaning pose and tailoring hide local axes.
49	2.5	?	?	partial	Blue printed short-sleeve shirt.	Broad exposed arms and torso support build; raised arm and shirt drape prevent shape comparison.
50	1.5	?	?	partial	White suit and patterned shirt.	Narrow trunk and visible lower body support approximate build; structured jacket obscures local axes.
51	?	?	?	partial	White suit trousers.	Leg-only crop and tailored fabric are insufficient for overall build.
52	?	?	?	reject	Two people in patterned beach outfits.	Overlapping people without an unambiguous single reference; no body labels assigned.
53	2.5	?	?	partial	Black short-sleeve top and burgundy trousers.	Broad exposed arm and trunk support build; turn and shirt drape limit local shape.
54	2.5	?	?	partial	Beige shirt and dark trousers.	Broader torso and upper legs support approximate build; loose shirt and angled pose obscure local axes.
55	?	?	?	partial	Blue zip jacket and plaid trousers.	Loose garments and tilted perspective obscure body contours.
56	?	?	?	partial	Striped balloon trousers and burgundy top.	Torso cropped and inflated trouser silhouette conceals build.
57	?	?	?	detail	Plaid back neckline with keyhole.	Close-up lacks comparative body contours.
58	?	?	?	partial	Striped cardigan and loose red trousers.	Roomy layers conceal trunk and limbs sufficiently to leave build unknown.
59	?	?	?	partial	Blue striped cardigan and wide trousers.	Loose knit and trousers obscure independent body contour cues.
60	?	?	?	partial	Green fleece and checked trousers.	Bulky fleece and cropped loose trousers hide build and local axes.
61	2.5	?	?	partial	Red patterned cardigan and strappy top.	Broader visible upper trunk supports approximate build; cardigan and crop hide local axes.
62	1.5	?	?	partial	Leopard cardigan over mesh crop top and shorts.	Narrow exposed midriff and thighs support build; cardigan hides shoulders and hip boundaries.
63	?	?	?	partial	Leopard cardigan in side view.	Loose knit and side-only view obscure body build.
64	?	?	?	partial	Leopard cardigan and black trousers.	Bulky knit hides arms and trunk; limited lower-body context.
65	?	?	?	partial	Long embroidered fur-trimmed coat.	Coat conceals trunk and legs; no independent build support.
66	1.5	?	?	partial	Black lace-panel peplum top.	Narrow bare arms and upper trunk support build; peplum hides waist and hip relationship.
67	1.5	?	?	partial	Black lace tee and shorts.	Narrow arms and thighs support build; loose top and tilted pose obscure local contours.
68	1.5	?	?	partial	Dark printed belted dress.	Narrow arm and upper trunk support approximate build; belt and flared skirt hide local body shape.
69	2.5	?	?	partial	Dark printed collared dress.	Broader exposed arms and upper torso support build; cinched dress and crop obscure local axes.
70	2	?	?	partial	Black gathered sleeveless dress.	Moderate bare arms and upper trunk support build; smocked waist and full skirt hide natural local contours.
71	?	?	?	partial	Blue patterned three-piece suit.	Close crop and layered tailoring obscure independent body contours.
72	2	?	?	partial	Blue patterned three-piece suit.	Moderate trunk and upper legs support approximate build; jacket and vest prevent local shape inference.
73	1.5	?	?	partial	White blouse and red ruffled shorts.	Narrow upper trunk and visible thighs support approximate build; blouse and ruffles hide local axes.
74	1.5	?	?	partial	White blouse and red ruffled shorts.	Narrow trunk and thighs support approximate build; loose blouse and ruffles prevent shape comparison.
75	1.5	?	?	partial	Pink gathered sleeveless dress.	Narrow bare arms and legs support build; gathered dress hides waist and hips.
76	1.5	?	?	partial	Pink gathered sleeveless dress.	Narrow arms and upper trunk support build; raised arm and flared dress invalidate local comparison.
77	?	?	?	partial	Cream oversized sweater and plaid shorts.	Bulky sweater and ruffled shorts hide trunk and upper limbs.
78	?	?	?	partial	Cream oversized sweater and plaid shorts.	Loose layers conceal independent build cues; turned pose limits local axes.
79	1.5	?	?	partial	Pink cropped jacket and lavender ruffled shorts.	Narrow exposed thighs and upper trunk support approximate build; jacket and ruffles hide local shape.
80	3	?	?	partial	Pink cropped jacket and pale jeans.	Broad fitted lower torso and thighs support build; jacket hides shoulder and waist contours.
81	3	?	?	partial	Pink mesh bow tee and tiered skirt.	Broad arms, trunk and legs support build; loose tee and tiered skirt hide local shape.
82	1.5	?	?	partial	Pink cardigan and tiered skirt.	Narrow exposed midriff and thighs support build; cardigan and tiers hide comparative axes.
83	2.5	?	?	partial	White crop tee and pastel shorts.	Broad arms and trunk support build; shoulders cropped and loose shorts hide local shape.
84	3	?	?	partial	Pink lace camisole and pastel tiered skirt.	Broad exposed arms and upper trunk support build; skirt and downward perspective limit local contour comparison.
85	3	?	?	partial	Pink lace camisole and tiered skirt.	Broad bare arms and trunk support build; flared skirt and high viewpoint obscure local axes.
86	3	?	?	partial	Pink top and blue peplum trousers.	Broad visible arms, lower trunk and thighs support build; crop and peplum hide local comparison.
87	1.5	?	?	partial	Lavender tee and ruffled shorts.	Narrow arms and thighs support build; leaning stance and ruffles obscure local axes.
88	3	?	?	partial	Navy rainbow sweater and magenta leggings.	Broad fitted lower trunk and legs support build; low perspective and raised hands limit local axes.
89	3	?	?	seated	Black lace dress with wide cinching belt.	Broad arms and thighs support build; seated turn and belt invalidate natural waist and hip comparison.
90	2.5	?	?	seated	Black mesh top and plaid trousers.	Broader arms and upper trunk support build; crouched pose hides comparative waist and hips.
91	2.5	?	?	seated	Pink top, cardigan and flared trousers.	Moderately broad trunk and legs support approximate build; seated turn hides local axes.
92	2.5	?	?	partial	White cardigan and green flared skirt.	Moderately broad arms and trunk support build; skirt hides hips and gathered top limits waist evidence.
93	1.5	?	?	seated	Cream sleeveless top and long denim skirt.	Narrow bare arms and upper trunk support build; side seated pose and skirt hide local axes.
94	1.5	?	?	partial	Olive harness shirt and dark trousers.	Narrow overall trunk and arms support approximate build; loose shirt and harness obscure local axes.
95	1.5	?	1	full	Burgundy fitted top and blue jeans.	Narrow trunk and limbs with moderate visible waist indentation; hands in pockets and roomy jeans limit hip comparison.
96	2	?	?	partial	Dark plaid shirt and dark trousers.	Moderate exposed arms and trunk support approximate build; shirt drape hides local contours.
97	2.5	?	?	full	Burgundy sweater and pink trousers.	Moderately broad trunk and legs support build; roomy sweater obscures waist and shoulder comparison.
98	2	?	?	full	Blue denim shirt dress and boots.	Moderate bare forearms and trunk support approximate build; loose dress conceals local contours.
99	?	?	?	partial	Burgundy coat over striped cardigan.	Close crop and structured layered clothing provide insufficient independent body cues.
100	?	?	?	full	Plaid coat and black dress.	Bulky coat and loose long dress obscure independent body contours; boot silhouette cannot resolve build.
101	1.5	?	?	full	Red plaid shirt dress and boots.	Narrow exposed legs and upper trunk support build; crossed arms and loose dress hide local axes.
102	3	?	?	full	Gray sleeveless dress.	Broad bare arms and legs support build; raised arms and loose dress hide local shape.
103	1.5	?	?	full	Blue fitted top and wide-leg jeans.	Narrow torso and forearms support build; raised arms distort waist and shoulder comparisons.
104	1.5	?	?	full	Navy tee and wide white trousers.	Narrow arms and upper trunk support build; loose trousers and leaning pose obscure local axes.
105	1.5	?	?	full	Cream textured sleeveless top and wide jeans.	Narrow bare arms and upper trunk support build; leaning pose and wide garments hide local contours.
106	?	?	?	full	Oversized pale shirt and wide jeans.	Raised arms and loose layers hide independent body contours.
107	1.5	?	?	full	Black shirt and wide gray jeans.	Narrow bare arms and trunk support approximate build; raised arm and loose clothing hide local axes.
108	1.5	?	?	full	Black top and wide blue jeans.	Narrow arms and upper trunk support build; tucked drape and wide jeans hide local shape.
109	1.5	?	?	full	Black fitted long-sleeve top and loose jeans.	Narrow trunk and arms support build; angled stance and loose hip fabric limit local axes.
110	?	?	?	full	Black loose sleeveless overall over white top.	Full-length loose garment conceals trunk and legs; build unknown.
111	1.5	?	?	full	White long-sleeve top and wide dark trousers.	Narrow upper trunk and arms support approximate build; loose trousers and tucked top obscure local axes.
112	1.5	?	?	full	Gray long-sleeve top and wide black jeans.	Narrow fitted upper trunk and arms support build; angled pose and wide jeans conceal hip balance.
113	2.5	?	?	seated	Floral jacket, graphic tee and ripped jeans.	Moderately broad arms and trunk support approximate build; seated pose and layers obscure local axes.
114	2	?	?	partial	Olive vest over floral shirt.	Moderate bare forearms and trunk support build; vest and shirt hide local contours.
115	1.5	?	?	seated	Olive sleeveless vest and trousers.	Narrow bare arms and upper trunk support build; wide seated stance and vest tailoring hide local axes.
116	1.5	?	?	partial	Checked sleeveless vest and trousers.	Narrow arms and upper trunk support build; tailoring and angled torso obscure local shape.
117	1.5	?	?	partial	White slogan tee and black trousers.	Narrow arms and trunk support build; loose tucked tee and crop obscure local contours.
118	3	?	?	partial	White slogan tee and striped trousers.	Broad bare arms and trunk support build; shirt drape and angled pose hide local axes.
119	3	?	?	partial	White short-sleeve shirt and jeans.	Broad exposed arms and trunk support build; long shirt hides waist and upper hips.
120	1.5	?	?	partial	White shirt with suspenders and black trousers.	Narrow arms and upper trunk support build; raised arm and loose shirt limit local shape comparison.
