ordinal	build	shoulderHip	waist	view	clothing	evidence
70	1.5	?	?	partial	Lavender heart cardigan and tiered pink skirt.	Narrow upper trunk and visible legs support build; skirt volume conceals hips and waist comparison.
71	3	?	?	partial	Lavender heart cardigan and tiered blue skirt.	Broad close-fitting upper trunk and visible thighs support fuller build; ruffled skirt and raised arm obscure local axes.
72	3	?	?	partial	Black dotted camisole and fitted pink mini.	Broad trunk, arms and upper hips support fuller build; oblique hip pose, hand and gathered skirt obscure local contour comparison.
73	1.5	1	?	partial	Black sleeveless mesh-panel buckled vest and dark trousers.	Exposed shoulders are broader than visible upper hips; narrow trunk and arms support build, but stiff vest panels obscure waist indentation.
74	1.5	0	?	partial	Sheer black top, rigid waist cage and dark jeans.	Narrow visible trunk and arms support build; frontal shoulders and hips similar, but waist cage prevents waist inference.
75	?	?	?	partial	Hooded black structured coat and trousers.	Layered rigid torso and long coat conceal underlying build and local contours.
76	1.5	?	?	partial	Black strapped tee and dark trousers.	Relatively narrow visible trunk and arms support build; harness and cropped upper hips limit local comparison.
77	1.5	?	?	partial	Purple-black open-knit long top and dark layers.	Visible narrow torso and upper legs support build; hip shift and loose knit hem conceal local contours.
78	2	?	?	partial	Black off-shoulder ruched top and zip skirt.	Visible upper trunk and arms support intermediate build; ruched top, turned shoulders and hands obscure local axes.
79	2.5	?	?	partial	Lavender relaxed tee and black trousers.	Visible arms and broad trunk impression support intermediate-fuller build; wide tee hides waist and upper hips.
80	2.5	?	?	partial	Brown gathered short-sleeve dress.	Upper trunk and exposed arms support intermediate-fuller build; gathered waist and skirt conceal body contour relationships.
81	2	?	?	partial	Plaid belted pinafore over cream ribbed top.	Visible trunk and legs support intermediate impression; belt and flared skirt invalidate local comparisons.
82	2	?	?	partial	Plaid belted pinafore and cream top, hands on hips.	Upper trunk and visible legs support intermediate build; flared skirt and cinching obscure underlying waist and hips.
83	2.5	?	?	partial	Cream tie-front blouse and black shorts.	Visible thighs, arms and trunk breadth support intermediate-fuller build; flared blouse hides waist and hip comparison.
84	2.5	?	?	partial	Bee-embroidered denim overalls over white tee.	Broad torso, upper hips and exposed arms support intermediate-fuller build; denim bib conceals waist contour.
85	2	?	?	partial	Black lace crop top and held-out buckled mini.	Visible upper trunk and thighs support intermediate build; lifted flared skirt and leaned posture hide local axes.
86	2.5	?	?	partial	Black mesh bra and sheer flared overskirt.	Visible trunk and arms support intermediate-fuller build; raised arm, crop and skirt volume obscure local comparisons.
87	2	?	?	partial	Black open-side lace short dress.	Visible torso, arms and upper thighs support intermediate impression; strong side-back turn prevents frontal local comparisons.
88	2.5	?	?	seated	Black sleeveless short outfit, legs extended on bench.	Visible trunk, arms and thighs support intermediate-fuller build; side-on seated posture prevents stable local axes.
89	?	?	?	partial	Brown textured-trim jacket and dark trousers.	Padded-looking sleeves and thick jacket obscure torso and hips; garment outline is insufficient for build.
90	?	?	?	seated	Brown jacket, trousers and heeled boots in crouch.	Crouching pose and bulky outer layers obscure overall body extent and local contours.
91	1.5	?	?	partial	Loose floral long tunic.	Narrow visible upper trunk and forearms support approximate build; straight tunic hides waist and hips.
92	?	?	?	partial	Oversized rainbow striped knit and dark trousers.	Dropped shoulders, loose knit and bag obscure trunk and hips; insufficient visible body cues.
93	1.5	?	?	partial	Black rolled-sleeve tee and dark jeans.	Narrow visible torso and arms support build; oblique stance and loose tee hide local contour relationships.
94	?	?	?	partial	Black metallic-striped sleeveless flared garment.	Crossed arms and stiff flared garment conceal trunk and hips; no overall build assigned.
95	1.5	?	?	partial	Black open cardigan over long white tee.	Relatively narrow trunk and exposed forearms support approximate build; layers and crop hide local axes.
96	1.5	?	?	partial	White belted sleeveless layer over black tee.	Narrow upper trunk and arms support approximate build; sideways turn and belt obscure body relationships.
97	1.5	?	?	partial	Black sheer cropped tee and olive strapped trousers.	Visible narrow torso and arms support build; strong oblique pose prevents frontal local comparisons.
98	1.5	0	1	partial	Black sheer cropped tee and olive strapped trousers.	Near-frontal visible torso and upper hips show similar widths with moderate indentation; narrow arms support build.
99	1.5	0	1	partial	Purple sheer tee and dark trousers.	Visible torso through sheer fabric shows moderate indentation and similar shoulder-hip widths; narrow limbs support build.
100	1.5	1	1	partial	Purple sheer tee and black trousers.	Visible torso tapers moderately below broader shoulders toward narrower hips; exposed arms support slender-intermediate impression.
101	1.5	?	?	partial	Black-white lace-up bodice and pleated mini.	Visible narrow torso and arms support build; rigid bodice, pleated skirt and side turn invalidate local comparison.
102	1.5	?	?	partial	Black-white lace-up bodice and pleated mini, frontal.	Narrow upper trunk and arms support build; structured corset and flared skirt conceal natural waist and hips.
103	?	?	?	reject	White question-mark graphic on black background.	Placeholder-style graphic contains no person or clothing reference.
104	2	?	?	seated	Teal fitted V-neck top and blue jeans.	Visible torso, arms and thighs support intermediate build; forward lean and bent legs obscure local proportions.
105	2.5	?	?	full	Green sleeveless belted cropped jumpsuit.	Broad torso, upper hips and exposed arms support intermediate-fuller build; belt and loose legs obscure local contour relationships.
106	1.5	?	?	partial	Burgundy loose utility separates.	Relatively narrow trunk and exposed forearms support approximate build; layered shirt and wide sleeves conceal local contours.
107	?	?	?	full	Dark oversized coat, purple top and wide jeans.	Long bulky coat conceals trunk and hips; no reliable overall build from outer silhouette.
108	1.5	?	?	full	Gray long-sleeve top and straight trousers.	Relatively narrow trunk and upper legs support build; arms overhead and side lean distort local comparisons.
109	1.5	?	?	full	Black tee, waist scarf and wide tan trousers.	Visible narrow upper trunk and forearms support approximate build; scarf and wide trousers hide waist and hip contours.
110	?	?	?	full	Layered charcoal cardigan, blue shirt and wide dark trousers.	Layered top and voluminous trousers conceal trunk and lower-body breadth; build remains unknown.
111	1.5	?	?	full	Close gray henley and very wide dark jeans.	Narrow upper trunk and exposed forearm support approximate build; bag, turn and wide jeans hide local comparison.
112	1.5	?	?	full	Black top and wide faded jeans.	Narrow upper trunk and arms support approximate build; loose trousers and bent head-forward stance limit local axes.
113	1.5	?	?	full	Gray button top and wide brown trousers.	Relatively narrow visible upper trunk and forearms support build; sling bag and wide trousers conceal waist and hips.
114	1.5	?	?	full	White long-sleeve top, dark bralette layer and wide trousers.	Narrow upper trunk supports approximate build; layered bust and voluminous trousers conceal local body comparison.
115	3	?	?	partial	Brown striped polo and blue jeans.	Broad torso, arms and upper hips support fuller build; leaning pose and loose shirt hide local indentation and widths.
116	1.5	?	?	partial	Rust polo and small-check trousers.	Visible narrow trunk and arms support build; raised arm and bloused hem obscure local contours.
117	2	?	?	partial	Gray zip vest over sheer black top and dark jeans.	Visible torso and upper hips support intermediate impression; structured vest and oblique stance prevent local labels.
118	1.5	?	?	partial	Black slogan tee, belt and pleated dark trousers.	Relatively narrow trunk and exposed arms support build; raised shoulder, belt and pleats obscure local relationships.
119	1.5	?	?	partial	Black work jacket over white tee and dark trousers.	Narrow visible trunk and forearms support approximate build; jacket structure and hand placement hide local contours.
120	1.5	?	?	partial	Black work jacket and matching trousers, side view.	Relatively narrow overall trunk and exposed forearms support approximate build; side-on twist and jacket obscure local axes.
