ordinal	view	build	shoulderHip	waist	presentation	evidence
71	seated	1.5	?	?	F	Sleeveless denim layer and shorts; bent seated pose.
72	partial	1.5	?	?	F	Black top and pale mini skirt; angled torso.
73	full	1.5	?	?	D	Black slip dress; leaning pose.
74	partial	1.5	?	?	U	Brown top and denim shorts; side lean, raised arms.
75	partial	1.5	?	1	U	Fitted black tank and camouflage shorts; turned hips.
76	partial	1.5	?	?	F	Floral crop and shorts; side leaning pose.
77	partial	1.5	?	?	D	Leopard flared dress; raised arms and skirt volume.
78	seated	?	?	?	U	Distant seated grey casual outfit.
79	back	?	?	?	D	Rear pink dress.
80	seated	1.5	?	?	U	Tank and shorts; wide seated pose.
81	full	1.5	?	?	F	Dark blouse and green shorts with heels; raised arms.
82	seated	1.5	?	?	D	Pale patterned dress; seated diagonal posture.
83	back	?	?	?	F	Rear black crop/shorts ensemble.
84	partial	1.5	?	?	D	Long black skirt and sleeveless top; side view.
85	partial	1.5	?	?	F	Leather jacket and shorts; layered torso.
86	full	?	?	?	U	Oversized light top and skirt; face and torso obscured.
87	partial	1.5	?	1	F	Black crop and denim shorts; raised arms.
88	full	1.5	?	?	D	Light jacket and pink skirt; angled camera.
89	full	?	?	?	D	Distant white dress with balloons; jumping posture.
90	seated	1.5	?	?	F	Dark crop and pale skirt with heels; crossed seated legs.
91	partial	1.5	?	?	F	Black strapless crop and skirt; raised arm, structured bodice.
92	partial	1.5	?	?	D	Checked dress and hat; raised arms.
93	full	1.5	?	?	D	Pale dress and pink shoes; side pose.
94	seated	1.5	?	?	U	Beige shirt and dark shorts; turned seated posture.
95	full	1.5	?	?	D	Dark asymmetric gown; angled hips and extended train.
96	full	1.5	?	?	D	Light dress and long cardigan; layered torso.
97	partial	1.5	?	?	D	White pleated dress; flared skirt.
98	full	?	?	?	D	Distant forest dress; low light obscures body.
99	full	2	?	?	D	Black belted top and striped skirt; belt shapes waist.
100	partial	2	?	?	D	Black off-shoulder top and metallic mini; leaning pose.
101	seated	1.5	?	?	D	Black mini dress; wide seated posture.
102	full	1.5	?	?	U	Black tank and loose grey trousers; side stance.
103	full	2	?	1	D	Olive fitted dress; angled hips prevent balance judgment.
104	full	1.5	?	?	F	Loose pale blouse and leggings; draped waist.
105	seated	1.5	?	?	U	Cream tee and shorts; forward seated lean.
106	partial	1.5	?	?	D	White shirt dress; turned body and loose fabric.
107	seated	1.5	?	?	F	White blouse and pink shorts; reclined pose.
108	back	?	?	?	F	Rear cutout black ensemble.
109	partial	2	?	?	C	Leather jacket, striped tee and denim shorts; covered contour.
110	seated	1.5	?	?	D	Blue dress and heels; reclined seated pose.
111	full	1.5	?	?	C	Layered jacket, shirt and dark trousers; covered torso.
112	partial	1.5	?	?	M	Grey blazer and printed tee; hips cropped.
113	full	1.5	?	?	F	Long knit, fitted trousers and heeled boots; knit hides torso.
114	partial	1.5	?	?	D	Blazer and mini skirt; layered contours.
115	full	1.5	?	?	F	Light crop and blue jeans with heels; side stance.
116	seated	1.5	?	?	F	White tied shirt and dark shorts; seated pose.
117	partial	1.5	?	?	D	White belted dress; side view.
118	partial	1.5	?	?	F	Denim jacket, crop and patterned skirt; jacket hides shoulders.
119	back	?	?	?	F	Rear white tank and denim shorts.
120	full	1.5	?	?	C	Denim jacket and black trousers; layered torso.
121	seated	1.5	?	?	F	White tee, denim shorts and tall boots; seated pose.
122	full	1.5	?	?	C	Pink jacket and black trousers; obscured torso.
123	full	1.5	?	?	F	Black textured jacket and fitted trousers with heeled boots; layers.
124	reject	?	?	?	U	Stroller and second person obscure outfit.
125	full	1.5	?	?	F	Blue shirt, dark vest and tall boots; layered torso.
126	seated	1.5	?	?	X	Collared tailored layers with short hem, tights and strap shoes; seated.
127	seated	1.5	?	?	U	White tee and black shorts; crouched pose.
128	partial	2	?	?	D	Striped gathered dress; skirt conceals hips.
129	full	1.5	?	?	U	Printed tee and skinny jeans; crossed legs and hand obscure contour.
130	full	?	?	?	F	Distant red top and denim shorts; side view.
131	partial	1.5	?	?	F	Gold plunge top and black shorts; loose high waist.
132	partial	2	?	?	D	Blue asymmetric belted dress; belt and drape obscure axes.
133	partial	2	?	1	U	Black tank and denim shorts; angled hips.
134	partial	1.5	?	?	D	Plunge embellished feather mini dress; structured contour.
135	partial	2	?	1	F	Green fitted crop and white shorts; tilted hips.
136	partial	1.5	?	?	D	Sheer white beach dress; side pose.
137	partial	1.5	?	?	D	Red cardigan and blue skirt; layers obscure contour.
138	seated	1.5	?	?	U	Striped tank and denim shorts; seated angle.
139	full	?	?	?	U	Distant light top and dark trousers; backlighting.
140	full	1.5	?	?	F	Graphic crop, mini skirt and thigh boots; arms raised.
141	seated	1.5	?	?	D	White lace dress; folded seated posture.
142	full	1.5	?	?	D	Green metallic flared dress; held-out skirt obscures hips.
143	seated	1.5	?	?	U	Blue sports jersey and shorts; seated wide pose.
144	full	1.5	?	?	D	Graphic tee over mini and tights; loose layered silhouette.
145	full	1.5	?	?	D	Dark coat, mini and tights; bowed torso and bag.
146	partial	1.5	?	?	U	White top and black trousers; bag and side view.
147	full	1.5	?	?	D	White bridal gown; long draped train.
148	full	1.5	?	?	C	Leather jacket, scarf and jeans; layers hide waist.
149	partial	1.5	?	?	D	Black short dress; tilted shoulders.
150	full	1.5	?	?	F	Black crop and patterned shorts; side stance.
151	partial	1.5	?	1	F	Yellow crop and dark jeans; arms raised.
152	reject	?	?	?	F	Repeated yellow crop outfit from 151.
153	partial	1.5	?	?	D	Tan skirt and fur-textured layers; covered waist.
154	partial	1.5	?	?	D	Tan jacket and skirt over white blouse; layers.
155	seated	1.5	?	?	D	White top and red skirt; crossed seated posture.
156	full	1.5	?	?	U	Black short outfit; raised knee and turned body.
157	partial	1.5	?	?	M	Tan tailored coat, grey top and white trousers; layers.
158	partial	1.5	?	?	F	Striped open shirt, crop and leather shorts; layers.
159	full	1.5	?	?	D	Floral crop and long grey skirt; turned waist.
160	reject	?	?	?	D	Repeated floral-crop and grey-skirt look.
161	full	1.5	?	?	F	Patterned short ensemble and heels; side stance.
162	partial	1.5	?	?	U	Textured long jacket; turned torso.
163	seated	1.5	?	?	F	Red knit and jeans with sandals; seated crop.
164	partial	1.5	?	?	F	Dark crop and denim shorts; raised arm and tilt.
165	seated	1.5	?	?	D	Red short dress; reclined pose.
166	full	2	?	?	D	Belted pale shirt dress; garment-shaped contour.
167	seated	1.5	?	?	U	White tee and shorts; side seated pose.
168	seated	1.5	?	?	D	Red asymmetric satin dress; seated contours.
169	partial	1.5	?	?	D	Distant dark strapless dress; loose hem.
170	full	1.5	?	?	D	Color-block cardigan, printed skirt and tights; layers.
171	full	1.5	?	?	D	Black short dress and boots; dress silhouette.
172	full	2	?	?	U	Printed raglan tee and wide jeans; loose hips.
173	seated	1.5	?	?	D	Red ruffled dress with belt; seated.
174	partial	1.5	?	1	D	Fitted purple mini; side torso prevents width comparison.
175	full	1.5	?	?	D	White tank and blue pencil skirt; loose waist tuck.
176	full	2	?	?	U	Red top and blue jeans; side view and elastic hem.
177	seated	1.5	?	?	C	Checked shirt and shorts; seated raised knee.
178	seated	1.5	?	?	U	Grey draped top and jeans; reclined posture.
179	full	1.5	?	?	F	Graphic crop and ripped black jeans; tilt and hand at waist.
180	full	1.5	?	?	D	White shirt and pleated mini; skirt obscures hips.
181	full	1.5	?	1	F	White crop and denim shorts with heels; angled hip stance.
182	seated	1.5	?	?	D	Orange patterned dress; leaned-back pose.
183	partial	1.5	?	?	C	Long dark coat and layered top; covered contour.
184	seated	2	?	?	D	Floral mini dress; seated side pose.
185	seated	1.5	?	?	D	Yellow dress and black boots; seated angle.
186	full	1.5	?	?	D	Pink mini dress; side pose with bent knee.
187	partial	1.5	?	?	D	Floral dress; arm raised, flared waist.
188	full	1.5	?	?	D	Dark jacket and mini skirt; distant framing.
189	full	?	?	?	D	Distant light long top/dress; backlighting.
190	full	1.5	?	?	D	Blue gathered dress; loose drape.
191	full	1.5	?	?	D	White printed beach dress; side pose.
192	seated	?	?	?	C	Coat, scarf and jeans; bundled seated figure.
193	partial	1.5	?	?	C	Leather jacket; close angled crop.
194	partial	1.5	?	?	U	Colorful blouse and dark shorts; loose torso.
195	full	2	?	?	U	Grey tank and red trousers; loose top and stance.
196	partial	1.5	?	?	D	Color-block dress; flared skirt.
197	seated	1.5	?	?	D	White belted short dress; seated crossed legs.
198	full	1.5	?	?	U	Black sports top and leggings; deep lunge.
199	seated	1.5	?	?	D	Red sheer-panel dress; seated side angle.
200	seated	1.5	?	?	U	Dark fitted top and trousers; curled seated pose.
201	partial	?	?	?	U	Red structured coat; garment hides body.
202	full	?	?	?	C	Distant long coat in hall; insufficient contour detail.
203	back	?	?	?	F	Rear crop and denim shorts.
204	full	1.5	?	?	F	Tied top and dark culottes; angled stance.
205	full	?	?	?	D	Distant dark tee and grey skirt; tiny figure.
206	full	1.5	?	1	D	Green fitted dress; side pose obscures width comparison.
207	full	1.5	?	?	D	Pink flared dress; side walking pose.
208	full	1.5	?	?	F	Black top and white shorts; distant figure.
209	full	1.5	?	?	D	Green patterned dress; distant walking figure.
210	partial	1.5	?	?	U	Denim jacket over graphic tee; arms raised, hips cropped.
211	detail	?	?	?	U	Overhead face/shoulder portrait; no outfit view.
212	partial	1.5	?	?	D	Dark patterned dress; low light and crop.
213	full	2	?	1	U	Mint sports top and leggings; arm hides shoulder, waist visible.
214	reject	?	?	?	D	Curled theatrical pose obscures outfit and body.
215	partial	2	?	?	D	Black dress and long scarf; torso covered.
216	partial	2	?	?	D	Floral dress; turned cropped torso.
217	seated	1.5	?	?	U	White tank and plaid waist layer; seated.
218	seated	1.5	?	?	F	Printed top, shorts and tall boots; crossed seated legs.
219	partial	1.5	?	?	D	Pink tee and floral mini; turned hips.
220	partial	2	?	1	F	Black lace halter and trousers; hair and raised arm obscure shoulder comparison on enlargement.
221	reject	?	?	?	D	Repeated pink tee/floral skirt ensemble from 219.
222	back	?	?	?	D	Rear patterned fitted dress.
223	partial	2	?	?	C	Camo open jacket, white tank and trousers; cropped layered contour.
224	back	?	?	?	U	Rear tank, backpack and jeans.
225	full	1.5	?	?	F	Coral blouse and patterned shorts; side stance.
226	full	?	?	?	F	Distant dancing figure in pale top and shorts.
227	full	1.5	?	?	D	Pink coat/dress with scarf; covered torso.
228	partial	1.5	?	?	D	White blouse and fringed skirt; side pose.
229	full	1.5	?	?	F	Red jacket and ripped jeans with heels; leaning.
230	full	2	?	?	D	Pink dotted shift dress; loose silhouette.
231	full	1.5	?	?	D	Printed bell-sleeve mini and tall sandals; extended arms.
232	full	2	?	?	D	Yellow belted maxi dress; belt and gathered skirt.
233	seated	1.5	?	?	U	Pink hoodie and dark trousers; seated.
234	partial	1.5	?	?	D	Red knit and dark skirt; leaning torso.
235	partial	1.5	?	?	D	Light top and short dark skirt; side lean.
236	seated	2	?	?	U	Orange top and pale trousers; folded seated legs.
237	full	1.5	?	?	D	Long patterned dress; arms raised.
238	full	1.5	?	?	D	White embellished mini; angled hips.
239	partial	1.5	?	?	D	Pale lace short dress; loose drape.
240	seated	?	?	?	U	Distant tank and jeans; seated against stone wall.
241	full	1.5	?	?	D	Printed short dress; loose bodice.
242	seated	?	?	?	D	Dress while riding horse; obscured seated contour.
243	full	3	?	?	D	Black top and striped maxi skirt; hip volume concealed.
244	partial	1.5	?	1	C	Fitted white button shirt and jeans; arms raised.
245	seated	1.5	?	?	F	Plum top, shorts and tall socks; seated side pose.
246	partial	1.5	?	?	D	Structured pink strapless bodice and black skirt; corset shaping.
247	full	1.5	?	?	M	Dark blazer and wide trousers with white shirt; layers.
248	partial	1.5	?	?	D	Teal dress and heels; neck crop and side view.
249	full	1.5	?	?	F	Black sleeveless top and red trousers; turned stance.
250	partial	1.5	?	?	D	Graphic black tee and metallic pleated skirt; hips hidden.
251	seated	1.5	?	?	C	Denim jacket and black trousers; seated and layered.
252	back	?	?	?	D	Rear lime maxi dress.
253	full	2	?	?	D	White strapless flared dress; structured waist.
254	back	?	?	?	F	Rear black tank and printed shorts.
255	full	1.5	?	?	F	Grey tee and coral trousers with heels; side walking pose.
256	seated	1.5	?	?	U	Striped tank and pale shorts; seated wide legs.
257	partial	1.5	?	?	C	Leather jacket and jeans; angled layered body.
258	partial	?	?	?	U	Silver jacket and printed top; arms cover torso, hips cropped.
259	full	1.5	?	?	F	Yellow belted coat, red leggings and heeled boots; coat shaped.
260	partial	1.5	?	?	D	White strapless gown; structured bodice and skirt.
261	seated	1.5	?	?	U	Graphic tee and shorts; seated sideways.
262	partial	2	?	1	D	Teal striped fitted mini; angled hips.
263	seated	1.5	?	?	F	Red halter top and white shorts; seated.
264	partial	1.5	?	?	D	Color-block fitted dress; raised arm and side stance.
265	partial	1.5	?	?	D	Blue flared mini; hands cover waist.
266	full	1.5	?	?	D	Green mini dress and black tights; garment contour.
267	partial	?	?	?	C	Blue belted utility jacket; neck crop and covered torso.
268	back	?	?	?	D	Rear green maxi dress.
269	partial	1.5	?	?	C	Black tank, cap and jeans; side stage pose.
270	full	1.5	?	?	F	Dark coat and tall boots; hidden torso.
271	partial	2	?	?	D	Black-white print shift dress; raised arm and loose shape.
272	partial	1.5	?	?	U	White knit and blue jeans; hands and crop limit contours.
273	back	?	?	?	U	Rear mustard top and hat.
274	full	2	?	?	U	Grey cardigan and cropped leggings; layered torso.
275	full	1.5	?	?	D	White blouse and tailored skirt; walking stance.
276	full	1.5	?	?	D	Black off-shoulder dress; wide tilted stance.
277	partial	1.5	?	?	M	Light blazer and black trousers with hat/scarf; torso covered.
278	back	?	?	?	F	Rear black top and blue jeans.
279	partial	1.5	?	?	D	Green blouse and pleated mini; loose hips.
280	seated	2	?	?	D	Red shirt dress; seated and draped.
281	full	1.5	?	?	D	Peach ruffled dress; angled pose and loose skirt.
282	partial	2	?	?	F	Sheer black top and dark bottom; low light and crop.
283	partial	2	?	?	D	Teal layer over orange dress with purple belt; garment shaping.
284	seated	2	?	?	D	Purple short dress; side seated view.
285	partial	2	?	?	D	Color-block fitted mini; strong side bend.
286	reject	?	?	?	D	Repeated color-block dress from 285.
287	seated	1.5	?	?	D	Pale patterned dress; reclined posture.
288	partial	2	?	?	D	White halter dress; flared drape and angled crop.
289	seated	1.5	?	?	D	Teal dress; reclined across ledge.
290	back	?	?	?	D	Rear patterned halter maxi.
291	partial	1.5	?	?	F	Pink lace tunic and pale shorts; side stance.
292	full	1.5	?	?	D	Pale blouse and patterned ruffled skirt; side pose.
293	reject	?	?	?	D	Repeated blouse/skirt look from 292.
294	seated	2	?	?	D	Black dress in hammock; seated spread arms.
295	full	2	?	?	D	Black belted ruffled dress; raised arm and garment shaping.
296	seated	1.5	?	?	D	Black lace top and coral maxi; seated and draped.
297	partial	1.5	?	?	F	Red oversized knit and tall socks; leaning torso.
298	back	?	?	?	D	Rear black dress with bag.
299	full	1.5	?	?	D	White asymmetric long dress; draped hips.
300	partial	1.5	?	?	U	Oversized graphic tee; garment hides contours.
301	seated	2	?	?	F	White halter top and jeans; folded seated pose.
302	full	1.5	?	?	D	Red belted maxi; belt and long skirt.
303	partial	1.5	?	?	D	Red-black sleeveless dress; draped skirt.
304	full	1.5	?	?	U	Striped tank and shorts; side stance.
305	full	1.5	?	?	D	Green cropped two-piece skirt outfit; arms raised.
306	partial	1.5	?	?	D	Black wrap blazer and dark skirt; structured waist.
307	full	1.5	?	?	D	Denim shirt dress with bright trainers; loose drape.
308	seated	2.5	?	?	D	Teal long dress; seated contour.
309	full	1.5	?	?	F	Dark jacket, crop and patterned trousers; leaned pose.
310	full	2	?	?	D	Long red dress; turned body and draped skirt.
311	seated	2	?	?	D	Black tank and printed skirt; seated.
312	seated	1.5	?	?	D	White short dress; deep seated lean.
313	full	1.5	?	?	D	White shirt mini; arms spread and wide stance.
314	seated	1.5	?	?	D	Grey loose dress; knees drawn up.
315	full	1.5	?	?	F	White cropped jacket, black top and jeans with heels; layers.
316	partial	1.5	?	?	F	White sleeveless blouse and gathered leather shorts; garment-shaped hips.
317	partial	1.5	?	?	D	Pink patterned belted dress; loose silhouette.
318	partial	1.5	?	1	F	Graphic crop and frayed denim shorts; tilted pose.
319	seated	1.5	?	?	D	Lace black mini and heels; crouched seated pose.
320	partial	1.5	?	?	M	Dark blazer and layered top with trousers; distant crop.
321	full	1.5	?	?	U	White top and wide cropped jeans; leaning skateboard pose.
322	partial	1.5	?	?	C	Long dark jacket and pale top; torso covered.
323	partial	?	?	?	F	Oversized pale fur-textured coat; body contours hidden.
324	full	2	?	?	F	Black vest/tank and pale shorts with heels; turned hips.
325	full	2	?	?	C	Checked long shirt and jeans; loose torso.
326	full	1.5	?	?	C	Light utility shirt, shorts and boots; raised knee.
327	seated	?	?	?	U	Oversized heart knit; head cropped and seated legs.
328	seated	1.5	?	?	U	Red graphic tee and black trousers; crossed seated legs.
329	seated	1.5	?	?	D	Turquoise patterned mini; seated angle.
330	seated	2	?	?	U	Striped tank and jeans; crouched seated pose.
331	full	1.5	?	?	D	Teal tank and draped grey skirt; skirt held out.
332	full	1.5	?	?	F	Striped crop and wide black culottes; arms raised.
333	partial	2	?	?	D	Pink wrap dress; raised arm and wrap shaping.
334	full	1.5	?	?	D	Black-white short dress; crossed legs and loose hem.
335	full	1.5	?	?	D	Blue floral maxi and hat; side view.
336	reject	?	?	?	D	Repeated denim shirt dress from 307.
337	partial	1.5	?	?	D	Long patterned stage dress; structured bodice.
338	full	1.5	?	?	D	Pink top and flared patterned mini; skirt hides hips.
339	full	1.5	?	?	D	Floral dress and thigh boots; side view.
340	partial	2	?	?	D	Black floral dress and hat; flared skirt.
341	partial	?	?	?	D	Off-shoulder floral dress; neck crop and loose silhouette.
342	partial	1.5	?	?	U	White printed sweatshirt and jeans; draped waist.
343	partial	2	?	?	D	Striped loose tee dress; bent body.
344	partial	1.5	?	?	D	Red plaid dress; extreme side bend.
345	partial	?	?	?	U	Hooded coat portrait; torso and hips obscured.
346	partial	1.5	?	?	U	Graphic grey tee and black trousers; loose top.
347	partial	1.5	?	?	C	Leather jacket, scarf and patterned jeans; layers.
348	back	?	?	?	U	Rear long white outfit.
349	full	2	?	?	D	Green wrap maxi dress; garment shaping.
350	full	1.5	?	?	U	Striped sweater and jeans; loose torso.
351	full	1.5	?	?	C	Red jacket and blue jeans with scarf; layered body.
352	full	1.5	?	?	C	Dark coat and blue jeans; leaning stance.
353	partial	1.5	?	?	C	Brown jacket and backpack; turned torso.
354	full	1.5	?	?	D	White floral dress and hat; long skirt.
355	partial	1.5	?	1	D	Black fitted mini dress; crossed arms hide shoulder contour.
356	full	1.5	?	?	F	Yellow cropped blazer and decorated jeans; layers.
357	partial	1.5	?	?	D	Dark draped dress; leaning torso.
358	partial	2	?	?	U	Black hooded top and jeans; tilt and loose waist.
359	partial	2	?	?	U	Green hoodie and jeans; layered torso.
360	partial	1.5	?	?	U	Loose black tee and frayed shorts; angled torso.
361	full	1.5	?	?	F	White sleeveless blouse, dark trousers and heels; leaning pose.
362	partial	1.5	?	?	D	White lace bodice and full skirt; structured contour.
363	partial	2	?	?	D	White blazer, red top and blue skirt; layered waist.
364	full	2	?	?	U	Black long top and jeans; raised arm.
365	partial	?	?	?	C	Long tan vest and black layers; hidden contour.
366	full	1.5	?	?	D	Pale slip dress; loose silhouette.
367	full	1.5	?	?	U	Oversized colorful top and shorts; jumping pose.
368	full	2	?	?	D	Patterned full dress; flared skirt.
369	partial	1.5	?	?	D	Dark zip top and brown skirt; layered hips.
370	full	1.5	?	?	C	Dark waistcoat and shorts with flat shoes; structured torso.
371	full	2	?	?	D	Black coat and white lace dress; layered contours.
372	partial	1.5	?	?	D	White structured bodice and tulle skirt; garment shaping.
373	full	1.5	?	?	D	Pale shirt dress; loose fabric.
374	full	2	?	1	F	Floral asymmetric crop and wide trousers; uneven shoulders and loose hips.
375	partial	1.5	0	1	D	Fitted gold-patterned mini; near-front contours; recheck.
376	full	2	?	?	D	Pink textured dress; shift silhouette.
377	full	1.5	?	?	D	Navy flared dress; angled hips and skirt volume.
378	full	1.5	?	?	D	Printed mini dress; side runway stance.
379	partial	1.5	?	?	D	Black sheer draped mini; fabric conceals waist.
380	full	2	?	?	D	White corseted bridal gown; structured bodice.
381	partial	2	?	?	U	Loose patterned blouse and green trousers; hips cropped.
382	back	?	?	?	D	Rear red gown.
383	full	1.5	?	?	D	Red draped slit gown; raised arm and side pose.
384	partial	2	?	?	D	Red embellished asymmetric dress; loose skirt.
385	partial	1.5	?	?	F	Dark embellished top and shorts; structured layers.
386	partial	1.5	?	?	D	Metallic blouse and patterned skirt; side and audience occlusion.
387	partial	1.5	?	?	D	Cream peplum dress; structured waist and angled hips.
388	partial	1.5	?	?	D	Black-white panel dress; structured bodice.
389	full	1.5	?	?	D	White bridal gown; skirt hides hips.
390	full	1.5	?	?	D	Red-blue asymmetric dress; loose drape.
391	full	1.5	?	?	F	Black top and embellished shorts; distant crossing stance.
392	full	2	?	?	D	Pink belted dress; belt shapes waist.
393	full	2	?	1	D	Navy fitted dress; elevated tilted camera prevents shoulder comparison on enlargement.
394	full	1.5	?	?	F	Strapless pale top and tailored shorts; structured bodice.
395	full	2	?	?	D	Purple asymmetric dress; angled hips and skirt.
396	back	?	?	?	D	Rear purple dress.
397	back	?	?	?	D	Rear burgundy gown.
398	back	?	?	?	D	Rear flowing purple gown.
399	full	1.5	?	?	D	Leather jacket and metallic skirt; covered torso.
400	full	1.5	?	?	D	Black short dress; loose hip outline.
401	full	1.5	?	?	D	Black-white strapless gown; structured bodice.
402	partial	1.5	?	?	D	Teal gathered dress with white sleeves; hidden hip contour.
403	partial	1.5	0	1	F	Fitted floral halter and pale trousers; near-front contour; recheck.
404	full	1.5	?	?	F	Lilac top and wide white trousers; loose hips.
405	full	1.5	?	?	D	White belted shirt mini; garment-shaped waist.
406	full	1.5	?	?	D	Black full-skirt dress; side walking pose.
407	full	1.5	?	?	D	Pale lace dress; side walking pose.
408	partial	1.5	?	?	D	White lace sleeve shift; loose drape.
409	partial	1.5	?	?	C	Black leather jacket and trousers; layers.
410	full	1.5	?	?	M	Plum trouser suit; structured tailoring.
411	partial	1.5	?	?	D	Dark long-sleeve dress; side profile.
412	partial	?	?	?	C	Tan coat; distant side view.
413	full	1.5	?	?	D	Black pencil skirt and sleeveless blouse; side pose.
414	full	1.5	?	?	F	Embellished fitted top and pale shorts; distant profile.
415	full	1.5	0	1	D	Fitted orange long dress; front contours; recheck.
416	full	1.5	?	?	D	Black belted flared coatdress; garment-shaped silhouette.
417	full	1.5	?	?	D	White lace gown with sheer skirt; structured waist.
418	full	1.5	?	?	M	Black suit and patterned blouse; tailoring hides waist.
419	full	1.5	?	?	D	Black mesh-panel dress; partly opaque contour.
420	full	1.5	?	?	D	Olive dress with wide yellow belt; garment shaping.
421	full	1.5	?	?	D	Dark strapless full gown; corseted bodice.
422	full	1.5	?	?	D	Silver shift dress; loose waist.
423	full	1.5	?	?	D	Black sleeveless mini; straight garment silhouette.
