ordinal	view	build	shoulderHip	waist	presentation	evidence
143	full	3	?	?	D	Grey tank dress with tights; loose hips obscure comparison.
144	reject	?	?	?	D	Repeated tank dress pose.
145	reject	?	?	?	D	Repeated tank dress colorway.
146	reject	?	?	?	D	Repeated red tank dress close view.
147	full	3	?	?	U	Orange loose overalls with printed tee; garment fullness hides contours.
148	full	3	?	?	U	Burgundy overalls and green printed tee; raised arm and loose garment.
149	full	3	?	?	U	Leopard overalls with pink top; loose torso and hips.
150	reject	?	?	?	U	Repeated leopard overall pose.
151	full	3	?	?	U	Black/yellow split overalls and print tee; loose garment.
152	reject	?	?	?	U	Repeated split overalls pose.
153	reject	?	?	?	U	Repeated overall styling in mauve colorway.
154	reject	?	?	?	U	Repeated mauve overalls close view.
155	partial	3	?	?	D	Tie-dye pinafore over black tee; gathered skirt hides contours.
156	reject	?	?	?	D	Repeated pinafore close view.
157	full	3	?	?	F	Pale embellished crop and wide trousers; loose hips conceal balance.
158	reject	?	?	?	U	Two-person image.
159	full	3	?	?	F	Floral open layer, black tank and wide trousers; concealed contours.
160	back	?	?	?	U	Rear trouser view.
161	partial	3	?	1	D	Fitted black lace-up dress; enlarged review retains waist but leaning pose prevents confident width comparison.
162	full	3	?	?	D	Black dress with sheer pleated overskirt; hips hidden by skirt.
163	full	3	?	1	U	Graphic black tee and leggings; enlarged review finds hair obscuring shoulder endpoints.
164	detail	?	?	?	U	Illustrated graphic only.
165	full	2.5	?	1	D	Black fitted tee dress; tilted posture obscures width comparison.
166	full	3	?	?	D	Black flared tee dress; skirt hides hips.
167	full	2.5	?	?	F	Black long scoop-neck top and yellow leggings; tilted torso.
168	back	?	?	?	U	Rear leggings view.
169	full	3	0	1	F	Strapped crop top and metallic shorts; near-front contours; recheck.
170	back	?	?	?	D	Rear crop and skirt view.
